timestamp_us,position
1755613060563759,100
1755613060579795,100
1755613060595739,100
1755613060611810,100
1755613060627803,100
1755613060643727,100
1755613060659913,100
1755613060675713,100
1755613060691956,100
1755613060707891,100
1755613060723893,100
1755613060739675,100
1755613060755698,100
1755613060771602,100
1755613060787631,100
1755613060803607,100
1755613060819708,100
1755613060835705,100
1755613060851547,100
1755613060867520,100
1755613060883515,100
1755613060899475,100
1755613060915399,100
1755613060931435,100
1755613060947397,100
1755613060963371,100
1755613060979479,100
1755613060995506,100
1755613061011572,100
1755613061027530,100
1755613061043359,100
1755613061075420,100
1755613061091317,101
1755613061107297,102
1755613061139320,104
1755613061155513,106
1755613061171413,107
1755613061203487,108
1755613061219342,110
1755613061235333,111
1755613061267200,113
1755613061283273,114
1755613061299187,115
1755613061331191,117
1755613061347298,118
1755613061363090,119
1755613061395276,121
1755613061411069,122
1755613061427005,123
1755613061458986,124
1755613061475140,126
1755613061490926,127
1755613061523040,128
1755613061538856,130
1755613061555011,131
1755613061586882,133
1755613061602838,134
1755613061618837,135
1755613061651030,136
1755613061666955,138
1755613061682944,139
1755613061714825,140
1755613061730920,142
1755613061746886,143
1755613061778695,144
1755613061794732,146
1755613061810802,147
1755613061842826,148
1755613061858800,150
1755613061874673,151
1755613061906752,152
1755613061922546,154
1755613061938559,155
1755613061970508,156
1755613061986625,158
1755613062002532,159
1755613062034603,160
1755613062050467,162
1755613062066358,163
1755613062098439,163
1755613062114374,163
1755613062130597,163
1755613062162465,163
1755613062178420,163
1755613062194490,163
1755613062226483,163
1755613062242330,163
1755613062258289,163
1755613062274333,163
1755613062290348,163
1755613062306343,163
1755613062322448,163
1755613062338353,163
1755613062354327,163
1755613062370135,163
1755613062386299,163
1755613062402132,163
1755613062418135,163
1755613062434110,163
1755613062450167,163
1755613062466050,163
1755613062482202,163
1755613062498059,163
1755613062514255,163
1755613062530188,163
1755613062546175,163
1755613062561970,163
1755613062577977,163
1755613062593975,163
1755613062609958,163
1755613062625895,163
1755613062642078,163
1755613062658091,163
1755613062673904,163
1755613062689896,163
1755613062706035,163
1755613062738103,163
1755613062753919,164
1755613062769800,165
1755613062801992,167
1755613062817900,169
1755613062833902,170
1755613062865716,172
1755613062881714,173
1755613062897677,174
1755613062929651,175
1755613062945740,176
1755613062961668,176
1755613062993793,176
1755613063009669,176
1755613063025521,176
1755613063057727,176
1755613063073595,176
1755613063089478,176
1755613063105577,176
1755613063121658,176
1755613063137566,176
1755613063153567,176
1755613063169632,176
1755613063185455,176
1755613063201483,176
1755613063217412,176
1755613063233403,176
1755613063249409,176
1755613063265373,176
1755613063282405,176
1755613063297363,176
1755613063313309,176
1755613063329455,176
1755613063345455,176
1755613063361456,176
1755613063377356,176
1755613063393372,176
1755613063409316,176
1755613063425163,176
1755613063441270,176
1755613063457116,176
1755613063473157,176
1755613063489229,176
1755613063505195,176
1755613063521146,176
1755613063537159,176
1755613063569271,176
1755613063585083,175
1755613063601085,174
1755613063633198,172
1755613063649149,170
1755613063664993,169
1755613063697008,167
1755613063712955,166
1755613063728945,165
1755613063760897,164
1755613063777123,163
1755613063792997,163
1755613063825024,163
1755613063841003,163
1755613063856986,163
1755613063888864,163
1755613063904713,163
1755613063920715,163
1755613063936619,163
1755613063952831,163
1755613063968829,163
1755613063984625,163
1755613064000808,163
1755613064016776,163
1755613064032806,163
1755613064048763,163
1755613064064609,163
1755613064080593,163
1755613064096540,163
1755613064112761,163
1755613064128649,163
1755613064144540,163
1755613064160559,163
1755613064176544,163
1755613064192520,163
1755613064208498,163
1755613064224451,163
1755613064240429,163
1755613064256398,163
1755613064272568,163
1755613064288610,163
1755613064304568,163
1755613064320549,163
1755613064336531,163
1755613064352388,163
1755613064368355,163
1755613064400315,163
1755613064416352,162
1755613064432540,161
1755613064464331,159
1755613064480352,158
1755613064496378,156
1755613064528333,155
1755613064544158,154
1755613064560163,152
1755613064592110,151
1755613064608262,149
1755613064624230,148
1755613064656286,147
1755613064672265,145
1755613064688056,145
1755613064720079,143
1755613064736034,142
1755613064751929,141
1755613064784120,139
1755613064800086,137
1755613064816103,136
1755613064848076,135
1755613064863873,134
1755613064880043,133
1755613064911869,131
1755613064927840,130
1755613064944007,129
1755613064975962,127
1755613064991996,126
1755613065007943,125
1755613065039796,123
1755613065055751,122
1755613065071724,121
1755613065103686,120
1755613065119747,118
1755613065135884,117
1755613065167858,115
1755613065183797,114
1755613065199781,113
1755613065231601,112
1755613065247570,110
1755613065263582,109
1755613065295694,108
1755613065311573,106
1755613065327564,105
1755613065359620,104
1755613065375470,102
1755613065391470,101
1755613065423625,100
1755613065439543,100
1755613065455359,100
1755613065487373,100
1755613065503329,100
1755613065519409,100
1755613065551334,100
1755613065567296,100
1755613065583380,100
1755613065599455,100
1755613065615358,100
1755613065631186,100
1755613065647334,100
1755613065663369,100
1755613065679239,100
1755613065695109,100
1755613065711173,100
1755613065727116,100
1755613065743165,100
1755613065759301,100
1755613065775290,100
1755613065791305,100
1755613065807190,100
1755613065823182,100
1755613065839060,100
1755613065855039,100
1755613065870993,100
1755613065886998,100
1755613065903003,100
1755613065918955,100
1755613065935059,100
1755613065951113,100
1755613065967016,100
1755613065983079,100
1755613065999081,100
1755613066014892,100
1755613066030852,100
