timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-07-28T16:16:54.854173,-31.0,-27.0,35.0,1.0,-54.0,-7.0,6.0,115.0,41.0,12.0,31.0,16.0,-46.55,-38.96,40.31,2.87,-65.78999999999999,5.619999999999999,18.59,87.73,60.06,22.79,-19.29,6.17
2025-07-28T16:16:54.858363,22.0,5.0,45.0,-38.0,88.0,5.0,22.0,-21.0,18.0,33.0,-15.0,-14.0,6.449999999999999,-6.960000000000001,50.31,-36.13,76.21000000000001,17.619999999999997,34.59,-48.269999999999996,37.06,43.79,-65.28999999999999,-23.83
2025-07-28T16:16:54.866282,42.0,-12.0,21.0,-25.0,36.0,9.0,8.0,52.0,2.0,2.0,78.0,-17.0,26.45,-23.96,26.31,-23.13,24.21,21.619999999999997,20.59,24.73,21.06,12.79,27.71,-26.83
2025-07-28T16:16:54.870600,48.0,-56.0,8.0,-8.0,2.0,-67.0,2.0,77.0,-27.0,-8.0,24.0,-1.0,32.45,-67.96000000000001,13.309999999999999,-6.13,-9.79,-54.38,14.59,49.730000000000004,-7.940000000000001,2.789999999999999,-26.29,-10.83
2025-07-28T16:16:54.878557,62.0,-53.0,87.0,-4.0,12.0,-1.0,-67.0,32.0,14.0,-48.0,20.0,-12.0,46.45,-64.96000000000001,92.31,-2.13,0.21000000000000085,11.62,-54.41,4.73,33.06,-37.21,-30.29,-21.83
2025-07-28T16:16:54.882889,113.0,11.0,18.0,41.0,12.0,25.0,-28.0,31.0,-11.0,69.0,75.0,56.0,97.45,-0.9600000000000009,23.31,42.87,0.21000000000000085,37.62,-15.41,3.7300000000000004,8.059999999999999,79.78999999999999,24.71,46.17
2025-07-28T16:16:54.890870,37.0,39.0,26.0,-44.0,35.0,10.0,-107.0,34.0,-37.0,40.0,56.0,21.0,21.45,27.04,31.31,-42.13,23.21,22.619999999999997,-94.41,6.73,-17.94,50.79,5.710000000000001,11.17
2025-07-28T16:16:54.895210,-39.0,9.0,66.0,-36.0,3.0,4.0,3.0,32.0,-61.0,-7.0,67.0,22.0,-54.55,-2.960000000000001,71.31,-34.13,-8.79,16.619999999999997,15.59,4.73,-41.94,3.789999999999999,16.71,12.17
2025-07-28T16:16:54.899176,10.0,43.0,-15.0,-18.0,-75.0,-1.0,1.0,109.0,-63.0,6.0,8.0,26.0,-5.550000000000001,31.04,-9.690000000000001,-16.13,-86.78999999999999,11.62,13.59,81.73,-43.94,16.79,-42.29,16.17
2025-07-28T16:16:54.907499,-33.0,60.0,-15.0,20.0,18.0,12.0,14.0,17.0,-97.0,14.0,15.0,81.0,-48.55,48.04,-9.690000000000001,21.87,6.210000000000001,24.619999999999997,26.59,-10.27,-77.94,24.79,-35.29,71.17
