timestamp_us,position
100931725930,100
100931741937,100
100931758090,100
100931773925,100
100931789887,100
100931805957,100
100931822116,100
100931838062,100
100931854060,100
100931869973,100
100931885876,100
100931901824,100
100931917823,100
100931933808,100
100931949790,100
100931965782,100
100931981817,100
100931997723,100
100932013858,100
100932029854,100
100932045773,100
100932061693,100
100932077859,100
100932093649,100
100932109569,100
100932125627,100
100932141733,100
100932157682,100
100932173625,100
100932189765,100
100932205778,100
100932237595,100
100932253699,101
100932269738,102
100932301578,104
100932317492,106
100932333512,108
100932365552,109
100932381566,111
100932397455,112
100932429629,113
100932445622,115
100932461428,116
100932493617,117
100932509577,119
100932525587,120
100932557409,121
100932573359,123
100932589500,124
100932621370,125
100932637348,127
100932653329,128
100932685400,130
100932701243,131
100932717310,132
100932749216,134
100932765204,135
100932781375,136
100932813252,138
100932829181,139
100932845246,140
100932877211,142
100932893138,143
100932909243,145
100932941092,146
100932957029,148
100932973206,149
100933005035,150
100933021087,152
100933037022,153
100933069124,154
100933085042,156
100933101117,157
100933133031,158
100933149089,160
100933164923,161
100933196964,162
100933212911,163
100933228860,163
100933261033,163
100933277050,163
100933292812,163
100933325029,163
100933340848,163
100933356997,163
100933372871,163
100933388831,163
100933404906,163
100933420948,163
100933436958,163
100933452743,163
100933468705,163
100933484700,163
100933500783,163
100933516831,163
100933532738,163
100933548705,163
100933564660,163
100933580763,163
100933596821,163
100933612748,163
100933628629,163
100933644601,163
100933660644,163
100933676722,163
100933692585,163
100933708571,163
100933724510,163
100933740723,163
100933756496,163
100933772535,163
100933788526,163
100933804550,163
100933836548,163
100933852498,164
100933868523,165
100933900523,167
100933916571,169
100933932566,171
100933964412,172
100933980588,174
100933996371,175
100934028563,176
100934044481,176
100934060371,176
100934092512,176
100934108449,176
100934124259,176
100934156495,176
100934172396,176
100934188438,176
100934204412,176
100934220248,176
100934236396,176
100934252207,176
100934268291,176
100934284137,176
100934300217,176
100934316259,176
100934332096,176
100934348131,176
100934364152,176
100934380155,176
100934396229,176
100934412026,176
100934428135,176
100934444121,176
100934460080,176
100934476222,176
100934492246,176
100934508211,176
100934524042,176
100934540046,176
100934556060,176
100934572212,176
100934588213,176
100934604083,176
100934619960,176
100934636150,176
100934667968,176
100934683953,175
100934699945,174
100934732057,172
100934747992,170
100934763839,169
100934795885,167
100934811997,166
100934827998,165
100934859883,164
100934875768,163
100934891750,163
100934923696,163
100934939778,163
100934955759,163
100934987853,163
100935003787,163
100935019802,163
100935035802,163
100935051647,163
100935067705,163
100935083644,163
100935099809,163
100935115619,163
100935131740,163
100935147777,163
100935163753,163
100935179492,163
100935195621,163
100935211661,163
100935227641,163
100935243698,163
100935259707,163
100935275629,163
100935291533,163
100935307653,163
100935323600,163
100935339407,163
100935355417,163
100935371362,163
100935387343,163
100935403470,163
100935419467,163
100935435564,163
100935451398,163
100935467562,163
100935499353,163
100935515456,162
100935531507,161
100935563307,160
100935579333,158
100935595386,157
100935627344,155
100935643246,153
100935659277,152
100935691200,151
100935707188,149
100935723219,148
100935755169,147
100935771185,145
100935787135,144
100935819250,143
100935835068,141
100935851246,140
100935883064,138
100935899266,137
100935915227,136
100935947065,134
100935963199,133
100935979035,132
100936010979,130
100936026970,129
100936042960,128
100936075148,126
100936091040,125
100936106992,124
100936139039,122
100936154892,121
100936171035,120
100936202919,118
100936218885,117
100936234818,116
100936266967,114
100936282720,113
100936298805,112
100936330718,110
100936346951,109
100936362885,108
100936394911,106
100936410681,105
100936426647,103
100936458671,102
100936474643,100
100936490832,100
100936522674,100
100936538783,100
100936554680,100
100936586613,100
100936602535,100
100936618579,100
100936650494,100
100936666650,100
100936682510,100
100936698514,100
100936714471,100
100936730658,100
100936746419,100
100936762517,100
100936778415,100
100936794435,100
100936810595,100
100936826382,100
100936842567,100
100936858514,100
100936874387,100
100936890543,100
100936906395,100
100936922372,100
100936938390,100
100936954271,100
100936970462,100
100936986396,100
100937002389,100
100937018358,100
100937034324,100
100937050287,100
100937066428,100
100937082436,100
100937098156,100
100937114270,100
100937130231,100
