timestamp_us,position
126437578275,100
126437594257,100
126437610222,100
126437626212,100
126437642236,100
126437658192,100
126437674192,100
126437690287,100
126437706134,100
126437722180,100
126437738186,100
126437754210,100
126437770155,100
126437786179,100
126437802100,100
126437818108,100
126437834161,100
126437850137,100
126437866154,100
126437882149,100
126437898149,100
126437913987,100
126437930144,100
126437946084,100
126437962271,100
126437978149,100
126437994085,100
126438010070,100
126438025956,100
126438041979,100
126438057964,100
126438089969,100
126438106047,101
126438121936,102
126438153965,104
126438169888,106
126438185922,108
126438217940,109
126438233984,111
126438249915,112
126438281934,113
126438297946,115
126438313846,116
126438345883,118
126438361875,119
126438377864,120
126438409950,122
126438425835,123
126438441848,124
126438473809,126
126438489841,127
126438505864,128
126438537830,130
126438553916,131
126438569803,133
126438601878,134
126438617804,136
126438633817,137
126438665879,138
126438681825,140
126438697778,141
126438729780,142
126438745783,144
126438761854,145
126438793727,146
126438809680,148
126438825681,149
126438857671,150
126438873618,152
126438889600,153
126438921686,155
126438937586,156
126438953672,157
126438985596,159
126439001675,160
126439017552,161
126439050635,163
126439065532,163
126439081497,163
126439113541,163
126439129404,163
126439145483,163
126439177556,163
126439193472,163
126439209450,163
126439225390,163
126439241529,163
126439257600,163
126439273438,163
126439289462,163
126439305539,163
126439321454,163
126439337548,163
126439353452,163
126439369467,163
126439385707,163
126439401509,163
126439417519,163
126439434339,163
126439449491,163
126439465413,163
126439481468,163
126439497475,163
126439513464,163
126439529463,163
126439545510,163
126439561551,163
126439577489,163
126439593464,163
126439609466,163
126439625434,163
126439641394,163
126439657505,163
126439689485,163
126439705470,164
126439721437,165
126439753378,167
126439769401,169
126439785376,171
126439817383,172
126439833355,174
126439849282,175
126439881260,176
126439897258,176
126439913277,176
126439945244,176
126439961359,176
126439977358,176
126440009290,176
126440025287,176
126440041325,176
126440057270,176
126440073274,176
126440089343,176
126440105261,176
126440121322,176
126440137199,176
126440153185,176
126440169265,176
126440185184,176
126440201217,176
126440217220,176
126440233205,176
126440249160,176
126440265163,176
126440281148,176
126440297245,176
126440313194,176
126440329065,176
126440345062,176
126440361009,176
126440376982,176
126440392963,176
126440408990,176
126440425119,176
126440441020,176
126440457041,176
126440473063,176
126440489055,176
126440521080,176
126440537359,175
126440553918,174
126440585085,172
126440601019,170
126440617111,169
126440648990,167
126440664903,166
126440680969,165
126440713013,164
126440728885,163
126440744850,163
126440776966,163
126440792956,163
126440808850,163
126440840879,163
126440856913,163
126440872928,163
126440888901,163
126440904942,163
126440920886,163
126440936951,163
126440952939,163
126440968951,163
126440984839,163
126441000888,163
126441016917,163
126441032851,163
126441048820,163
126441064816,163
126441080847,163
126441096990,163
126441112819,163
126441128894,163
126441144910,163
126441160912,163
126441176840,163
126441192899,163
126441208796,163
126441224789,163
126441240858,163
126441256841,163
126441272880,163
126441288939,163
126441304775,163
126441320797,163
126441352932,163
126441368834,162
126441384894,161
126441416813,160
126441432914,158
126441448783,156
126441481016,155
126441496968,153
126441512708,152
126441544824,151
126441560815,149
126441576718,148
126441608866,147
126441624742,145
126441640797,144
126441672779,143
126441688793,141
126441704712,140
126441737041,138
126441752827,137
126441768882,136
126441800805,134
126441816759,133
126441832704,132
126441864778,130
126441880685,129
126441896609,128
126441928632,126
126441944704,125
126441960699,124
126441992675,122
126442008720,121
126442024585,120
126442056695,118
126442072638,117
126442088611,116
126442120661,114
126442136853,112
126442152907,111
126442184676,110
126442201269,108
126442216541,107
126442248494,106
126442264504,104
126442280466,103
126442312486,102
126442328462,100
126442344503,100
126442376446,100
126442392508,100
126442408490,100
126442440475,100
126442456438,100
126442472475,100
126442488438,100
126442504634,100
126442521667,100
126442536760,100
126442552581,100
126442568435,100
126442584485,100
126442600441,100
126442616326,100
126442632370,100
126442648439,100
126442664527,100
126442680414,100
126442696418,100
126442712411,100
126442728354,100
126442744393,100
126442760352,100
126442776342,100
126442792374,100
126442808358,100
126442824426,100
126442840455,100
126442856431,100
126442872327,100
126442888468,100
126442904377,100
126442920595,100
