timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-07-29T16:26:46.385534,-23.0,-34.0,68.0,-22.0,18.0,31.0,-58.0,-76.0,-4.0,26.0,-63.0,31.0,-83.18,2.799999999999997,50.09,-4.52,24.15,37.36,-42.1,-51.28,-7.5600000000000005,62.75,-34.65,10.850000000000001
2025-07-29T16:26:46.393700,-34.0,-41.0,-14.0,-3.0,-30.0,-10.0,-8.0,-86.0,-38.0,-22.0,-93.0,19.0,-94.18,-4.200000000000003,-31.91,14.48,-23.85,-3.6399999999999997,7.9,-61.28,-41.56,14.75,-64.65,-1.1499999999999986
2025-07-29T16:26:46.397945,86.0,-69.0,-6.0,-24.0,-6.0,-50.0,-8.0,-40.0,2.0,49.0,-25.0,35.0,25.82,-32.2,-23.91,-6.52,0.15000000000000036,-43.64,7.9,-15.280000000000001,-1.56,85.75,3.3500000000000014,14.850000000000001
2025-07-29T16:26:46.401965,60.0,-41.0,2.0,-1.0,14.0,-14.0,-55.0,-16.0,32.0,26.0,-83.0,36.0,-0.17999999999999972,-4.200000000000003,-15.91,16.48,20.15,-7.64,-39.1,8.719999999999999,28.44,62.75,-54.65,15.850000000000001
2025-07-29T16:26:46.410379,70.0,-121.0,35.0,-25.0,-30.0,19.0,-20.0,-9.0,56.0,-48.0,-60.0,64.0,9.82,-84.2,17.09,-7.52,-23.85,25.36,-4.1,15.719999999999999,52.44,-11.25,-31.65,43.85
2025-07-29T16:26:46.414321,100.0,-97.0,22.0,-35.0,-43.0,-34.0,-23.0,-17.0,48.0,-51.0,-84.0,40.0,39.82,-60.2,4.09,-17.52,-36.85,-27.64,-7.1,7.719999999999999,44.44,-14.25,-55.65,19.85
2025-07-29T16:26:46.422581,-20.0,-108.0,25.0,-3.0,30.0,3.0,-28.0,0.0,4.0,23.0,-126.0,75.0,-80.18,-71.2,7.09,14.48,36.15,9.36,-12.1,24.72,0.43999999999999995,59.75,-97.65,54.85
2025-07-29T16:26:46.426633,-29.0,-40.0,-11.0,-65.0,-9.0,-30.0,-69.0,-2.0,28.0,23.0,-77.0,55.0,-89.18,-3.200000000000003,-28.91,-47.519999999999996,-2.8499999999999996,-23.64,-53.1,22.72,24.44,59.75,-48.65,34.85
2025-07-29T16:26:46.434713,-4.0,-38.0,68.0,11.0,4.0,-28.0,-59.0,53.0,-18.0,30.0,-73.0,117.0,-64.18,-1.2000000000000028,50.09,28.48,10.15,-21.64,-43.1,77.72,-21.56,66.75,-44.65,96.85
2025-07-29T16:26:46.439265,4.0,41.0,-98.0,2.0,-49.0,-38.0,-31.0,-10.0,49.0,84.0,-15.0,13.0,-56.18,77.8,-115.91,19.48,-42.85,-31.64,-15.1,14.719999999999999,45.44,120.75,13.350000000000001,-7.149999999999999
2025-07-29T16:26:46.447004,93.0,111.0,-47.0,5.0,-67.0,-10.0,0.0,4.0,27.0,34.0,-12.0,-4.0,32.82,147.8,-64.91,22.48,-60.85,-3.6399999999999997,15.9,28.72,23.44,70.75,16.35,-24.15
2025-07-29T16:26:46.451210,53.0,-2.0,-9.0,-44.0,-97.0,-9.0,-53.0,43.0,-26.0,13.0,-41.0,38.0,-7.18,34.8,-26.91,-26.52,-90.85,-2.6399999999999997,-37.1,67.72,-29.56,49.75,-12.649999999999999,17.85
2025-07-29T16:26:46.459348,12.0,-18.0,-20.0,-32.0,-26.0,-63.0,-10.0,17.0,15.0,31.0,7.0,41.0,-48.18,18.799999999999997,-37.91,-14.52,-19.85,-56.64,5.9,41.72,11.44,67.75,35.35,20.85
2025-07-29T16:26:46.463581,18.0,0.0,-26.0,-36.0,-52.0,-66.0,20.0,19.0,-29.0,20.0,-9.0,39.0,-42.18,36.8,-43.91,-18.52,-45.85,-59.64,35.9,43.72,-32.56,56.75,19.35,18.85
2025-07-29T16:26:46.471616,75.0,-54.0,2.0,-63.0,-31.0,-9.0,-62.0,4.0,23.0,58.0,-20.0,67.0,14.82,-17.200000000000003,-15.91,-45.519999999999996,-24.85,-2.6399999999999997,-46.1,28.72,19.44,94.75,8.350000000000001,46.85
2025-07-29T16:26:46.475830,14.0,-39.0,5.0,15.0,25.0,3.0,-32.0,3.0,79.0,27.0,-65.0,38.0,-46.18,-2.200000000000003,-12.91,32.480000000000004,31.15,9.36,-16.1,27.72,75.44,63.75,-36.65,17.85
2025-07-29T16:26:46.483825,53.0,22.0,-57.0,-13.0,43.0,-39.0,-61.0,-1.0,23.0,12.0,-18.0,72.0,-7.18,58.8,-74.91,4.48,49.15,-32.64,-45.1,23.72,19.44,48.75,10.350000000000001,51.85
2025-07-29T16:26:46.488464,54.0,-77.0,-44.0,-15.0,-58.0,-48.0,-77.0,-54.0,19.0,-74.0,-33.0,25.0,-6.18,-40.2,-61.91,2.4800000000000004,-51.85,-41.64,-61.1,-29.28,15.44,-37.25,-4.649999999999999,4.850000000000001
2025-07-29T16:26:46.496136,60.0,-52.0,-8.0,5.0,40.0,12.0,50.0,-14.0,-1.0,-20.0,-14.0,-26.0,-0.17999999999999972,-15.200000000000003,-25.91,22.48,46.15,18.36,65.9,10.719999999999999,-4.5600000000000005,16.75,14.350000000000001,-46.15
2025-07-29T16:26:46.500394,39.0,-154.0,-44.0,-47.0,-50.0,-3.0,-65.0,6.0,14.0,98.0,-116.0,33.0,-21.18,-117.2,-61.91,-29.52,-43.85,3.3600000000000003,-49.1,30.72,10.44,134.75,-87.65,12.850000000000001
2025-07-29T16:26:46.508459,141.0,-57.0,113.0,-10.0,-10.0,32.0,24.0,-8.0,-12.0,1.0,-77.0,46.0,80.82,-20.200000000000003,95.09,7.48,-3.8499999999999996,38.36,39.9,16.72,-15.56,37.75,-48.65,25.85
2025-07-29T16:26:46.512658,4.0,-65.0,25.0,-75.0,43.0,35.0,-12.0,-36.0,-38.0,5.0,-60.0,43.0,-56.18,-28.200000000000003,7.09,-57.519999999999996,49.15,41.36,3.9000000000000004,-11.280000000000001,-41.56,41.75,-31.65,22.85
2025-07-29T16:26:46.520789,53.0,-9.0,38.0,24.0,10.0,-35.0,-21.0,48.0,-11.0,-18.0,-98.0,27.0,-7.18,27.799999999999997,20.09,41.480000000000004,16.15,-28.64,-5.1,72.72,-14.56,18.75,-69.65,6.850000000000001
2025-07-29T16:26:46.525033,111.0,0.0,13.0,-22.0,3.0,13.0,-79.0,51.0,10.0,3.0,-48.0,24.0,50.82,36.8,-4.91,-4.52,9.15,19.36,-63.1,75.72,6.4399999999999995,39.75,-19.65,3.8500000000000014
2025-07-29T16:26:46.532860,108.0,1.0,3.0,-10.0,34.0,51.0,-59.0,-36.0,-26.0,15.0,-86.0,112.0,47.82,37.8,-14.91,7.48,40.15,57.36,-43.1,-11.280000000000001,-29.56,51.75,-57.65,91.85
2025-07-29T16:26:46.537604,114.0,-73.0,-36.0,-44.0,-43.0,-70.0,-41.0,-1.0,-32.0,9.0,-24.0,28.0,53.82,-36.2,-53.91,-26.52,-36.85,-63.64,-25.1,23.72,-35.56,45.75,4.350000000000001,7.850000000000001
