timestamp_us,position
54335085674,100
54335101541,100
54335117761,100
54335133443,100
54335149442,100
54335165452,100
54335181353,100
54335197285,100
54335213525,100
54335229396,100
54335245246,100
54335261275,100
54335277334,100
54335293317,100
54335309317,100
54335325306,100
54335341221,100
54335357363,100
54335373255,100
54335389381,100
54335405402,100
54335421320,100
54335438143,100
54335453233,100
54335469258,100
54335485294,100
54335501303,100
54335517216,100
54335533239,100
54335549109,100
54335565153,100
54335597150,100
54335613118,101
54335629090,102
54335661168,104
54335677244,106
54335693204,108
54335725162,109
54335741149,111
54335757130,112
54335789140,113
54335805061,115
54335821175,116
54335853488,117
54335869135,119
54335885066,120
54335917005,121
54335932987,123
54335948952,124
54335980927,125
54335996981,127
54336012981,128
54336044984,129
54336060942,131
54336076943,132
54336108878,134
54336124844,135
54336140871,136
54336172919,138
54336188867,139
54336204905,140
54336236866,142
54336253363,143
54336268842,145
54336300769,146
54336316720,148
54336332725,149
54336364763,150
54336380802,152
54336396778,153
54336428829,154
54336444728,156
54336460675,157
54336492730,158
54336508701,160
54336524801,161
54336556745,162
54336572645,163
54336588611,163
54336620699,163
54336636630,163
54336652713,163
54336684582,163
54336700527,163
54336716578,163
54336732653,163
54336748524,163
54336764591,163
54336780507,163
54336796509,163
54336812499,163
54336828622,163
54336844534,163
54336860539,163
54336876617,163
54336892584,163
54336908578,163
54336924725,163
54336940513,163
54336956473,163
54336972470,163
54336988463,163
54337004569,163
54337020464,163
54337036485,163
54337052483,163
54337068738,163
54337084342,163
54337100362,163
54337116425,163
54337132354,163
54337148353,163
54337164533,163
54337196341,163
54337212334,164
54337228285,165
54337260322,167
54337276322,169
54337292382,171
54337324376,172
54337340384,174
54337356332,175
54337388271,176
54337404433,176
54337420245,176
54337452314,176
54337468239,176
54337484167,176
54337516250,176
54337532242,176
54337548176,176
54337564110,176
54337580132,176
54337596078,176
54337612037,176
54337628117,176
54337644060,176
54337660127,176
54337676099,176
54337692200,176
54337708194,176
54337724131,176
54337740057,176
54337756017,176
54337772072,176
54337788051,176
54337804022,176
54337820330,176
54337836131,176
54337852072,176
54337867928,176
54337883915,176
54337899960,176
54337915941,176
54337931961,176
54337947947,176
54337964020,176
54337979901,176
54337995970,176
54338027936,176
54338043934,175
54338059919,174
54338091970,172
54338107921,170
54338123900,169
54338155847,167
54338171937,166
54338187814,165
54338219810,164
54338235863,163
54338251749,163
54338283755,163
54338299737,163
54338315743,163
54338347849,163
54338363816,163
54338379728,163
54338395654,163
54338411660,163
54338427646,163
54338443669,163
54338459748,163
54338475628,163
54338491775,163
54338507746,163
54338523761,163
54338539696,163
54338555666,163
54338571609,163
54338587722,163
54338603622,163
54338619806,163
54338635618,163
54338651523,163
54338667533,163
54338683642,163
54338699667,163
54338715727,163
54338731643,163
54338747641,163
54338763641,163
54338779522,163
54338795623,163
54338811462,163
54338827460,163
54338859468,163
54338875601,162
54338891444,161
54338923403,160
54338939421,158
54338955833,157
54338987371,155
54339003383,153
54339019420,152
54339051512,151
54339067287,149
54339083351,148
54339115354,147
54339131416,145
54339147319,144
54339179364,143
54339195303,141
54339211247,140
54339243238,139
54339259328,137
54339275244,136
54339307307,134
54339323242,133
54339339322,132
54339371299,131
54339387292,129
54339403241,128
54339435113,126
54339451143,125
54339467122,124
54339499216,122
54339515161,121
54339531104,120
54339563126,118
54339579102,117
54339595085,116
54339627096,115
54339643091,113
54339659146,112
54339691194,111
54339707060,109
54339723099,108
54339755053,106
54339771023,105
54339787529,104
54339818937,102
54339834972,101
54339851082,100
54339883069,100
54339898971,100
54339914960,100
54339946928,100
54339962925,100
54339978890,100
54340010890,100
54340026874,100
54340042826,100
54340058976,100
54340074898,100
54340090887,100
54340106877,100
54340122813,100
54340138858,100
54340154858,100
54340170794,100
54340186782,100
54340202842,100
54340218838,100
54340234777,100
54340250817,100
54340266706,100
54340282738,100
54340298729,100
54340314646,100
54340330673,100
54340346673,100
54340362615,100
54340378624,100
54340394628,100
54340410694,100
54340426619,100
54340442646,100
54340458645,100
54340474682,100
54340490639,100
