timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-07-30T19:39:08.597102,77.0,63.0,-32.0,-18.0,-42.0,37.0,12.0,17.0,-32.0,-16.0,37.0,-30.0,57.43,28.729999999999997,-12.86,8.57,-18.04,28.130000000000003,5.9,6.91,-20.47,-13.06,43.05,-25.04
2025-07-30T19:39:08.601186,54.0,28.0,9.0,-99.0,-93.0,68.0,-17.0,23.0,-10.0,-31.0,-39.0,29.0,34.43,-6.270000000000003,28.14,-72.43,-69.03999999999999,59.13,-23.1,12.91,1.5299999999999994,-28.06,-32.95,33.96
2025-07-30T19:39:08.609228,-9.0,30.0,-10.0,20.0,-33.0,52.0,-21.0,-16.0,43.0,24.0,-4.0,-24.0,-28.57,-4.270000000000003,9.14,46.57,-9.04,43.13,-27.1,-26.09,54.53,26.94,2.05,-19.04
2025-07-30T19:39:08.613454,-65.0,-5.0,-14.0,-78.0,-59.0,-8.0,-97.0,33.0,-25.0,-11.0,-40.0,-19.0,-84.57,-39.27,5.140000000000001,-51.43,-35.04,-16.869999999999997,-103.1,22.91,-13.47,-8.06,-33.95,-14.04
2025-07-30T19:39:08.621511,7.0,43.0,12.0,8.0,-38.0,-9.0,83.0,-31.0,-9.0,-47.0,12.0,-35.0,-12.57,8.729999999999997,31.14,34.57,-14.04,-17.869999999999997,76.9,-41.09,2.5299999999999994,-44.06,18.05,-30.04
2025-07-30T19:39:08.625815,-37.0,95.0,11.0,-11.0,-15.0,-23.0,5.0,14.0,-61.0,-44.0,12.0,-38.0,-56.57,60.73,30.14,15.57,8.96,-31.869999999999997,-1.0999999999999996,3.91,-49.47,-41.06,18.05,-33.04
2025-07-30T19:39:08.633945,-37.0,80.0,-41.0,-41.0,-4.0,42.0,48.0,41.0,18.0,-72.0,9.0,-1.0,-56.57,45.73,-21.86,-14.43,19.96,33.13,41.9,30.91,29.53,-69.06,15.05,3.96
2025-07-30T19:39:08.638210,-46.0,62.0,-11.0,-76.0,-41.0,60.0,59.0,18.0,40.0,-36.0,20.0,-47.0,-65.57,27.729999999999997,8.14,-49.43,-17.04,51.13,52.9,7.91,51.53,-33.06,26.05,-42.04
2025-07-30T19:39:08.646195,47.0,45.0,-1.0,-28.0,-13.0,27.0,5.0,6.0,58.0,-50.0,-33.0,-50.0,27.43,10.729999999999997,18.14,-1.4299999999999997,10.96,18.130000000000003,-1.0999999999999996,-4.09,69.53,-47.06,-26.95,-45.04
2025-07-30T19:39:08.650541,42.0,14.0,-7.0,8.0,-7.0,63.0,-57.0,-12.0,80.0,-34.0,101.0,-40.0,22.43,-20.270000000000003,12.14,34.57,16.96,54.13,-63.1,-22.09,91.53,-31.06,107.05,-35.04
2025-07-30T19:39:08.658488,-13.0,0.0,-68.0,22.0,-80.0,-4.0,-41.0,-5.0,9.0,-79.0,41.0,-25.0,-32.57,-34.27,-48.86,48.57,-56.04,-12.87,-47.1,-15.09,20.53,-76.06,47.05,-20.04
2025-07-30T19:39:08.662853,97.0,102.0,-9.0,-52.0,-28.0,33.0,-25.0,-14.0,-8.0,-45.0,-24.0,3.0,77.43,67.72999999999999,10.14,-25.43,-4.039999999999999,24.130000000000003,-31.1,-24.09,3.5299999999999994,-42.06,-17.95,7.96
2025-07-30T19:39:08.670784,24.0,38.0,-28.0,-98.0,67.0,69.0,40.0,42.0,-17.0,-36.0,15.0,34.0,4.43,3.729999999999997,-8.86,-71.43,90.96000000000001,60.13,33.9,31.91,-5.470000000000001,-33.06,21.05,38.96
2025-07-30T19:39:08.675429,23.0,26.0,13.0,27.0,-15.0,27.0,27.0,-13.0,13.0,-50.0,45.0,19.0,3.4299999999999997,-8.270000000000003,32.14,53.57,8.96,18.130000000000003,20.9,-23.09,24.53,-47.06,51.05,23.96
2025-07-30T19:39:08.683064,-18.0,12.0,37.0,-23.0,-75.0,-16.0,8.0,15.0,-23.0,-28.0,44.0,22.0,-37.57,-22.270000000000003,56.14,3.5700000000000003,-51.04,-24.869999999999997,1.9000000000000004,4.91,-11.47,-25.06,50.05,26.96
2025-07-30T19:39:08.687926,0.0,72.0,-30.0,-12.0,-4.0,21.0,14.0,15.0,12.0,-18.0,103.0,-5.0,-19.57,37.73,-10.86,14.57,19.96,12.13,7.9,4.91,23.53,-15.06,109.05,-0.040000000000000036
2025-07-30T19:39:08.695342,-15.0,64.0,-40.0,-84.0,70.0,70.0,24.0,-2.0,14.0,29.0,-6.0,-13.0,-34.57,29.729999999999997,-20.86,-57.43,93.96000000000001,61.13,17.9,-12.09,25.53,31.94,0.04999999999999982,-8.04
2025-07-30T19:39:08.700009,-47.0,-24.0,-57.0,-72.0,37.0,65.0,-6.0,61.0,-13.0,-6.0,-8.0,32.0,-66.57,-58.27,-37.86,-45.43,60.96,56.13,-12.1,50.91,-1.4700000000000006,-3.06,-1.9500000000000002,36.96
2025-07-30T19:39:08.707577,-56.0,20.0,-19.0,-46.0,-13.0,36.0,11.0,18.0,4.0,-79.0,18.0,80.0,-75.57,-14.270000000000003,0.14000000000000057,-19.43,10.96,27.130000000000003,4.9,7.91,15.53,-76.06,24.05,84.96
2025-07-30T19:39:08.711799,8.0,57.0,4.0,47.0,-36.0,-41.0,-33.0,58.0,-32.0,-50.0,-77.0,38.0,-11.57,22.729999999999997,23.14,73.57,-12.04,-49.87,-39.1,47.91,-20.47,-47.06,-70.95,42.96
2025-07-30T19:39:08.719723,-5.0,1.0,-63.0,-38.0,-70.0,69.0,-88.0,126.0,33.0,-90.0,21.0,64.0,-24.57,-33.27,-43.86,-11.43,-46.04,60.13,-94.1,115.91,44.53,-87.06,27.05,68.96
