timestamp_us,position
45335292676,100
45335308739,100
45335324553,100
45335340596,100
45335356490,100
45335372456,100
45335388495,100
45335404561,100
45335420537,100
45335436504,100
45335452415,100
45335468376,100
45335484483,100
45335500501,100
45335516494,100
45335532487,100
45335548396,100
45335564439,100
45335580485,100
45335596392,100
45335612305,100
45335628386,100
45335644420,100
45335660354,100
45335676307,100
45335692355,100
45335708334,100
45335724292,100
45335740245,100
45335756237,100
45335772236,100
45335804284,100
45335820204,101
45335836138,103
45335868163,104
45335884221,107
45335900194,108
45335932110,109
45335948106,111
45335964140,112
45335996241,113
45336012048,115
45336028140,116
45336060055,117
45336076102,119
45336092134,120
45336124064,121
45336139987,123
45336156050,124
45336187921,125
45336203907,127
45336219921,128
45336251905,129
45336267937,131
45336283965,132
45336316039,134
45336331866,135
45336347891,136
45336379886,138
45336395857,140
45336411761,141
45336443864,142
45336459791,144
45336475769,145
45336507756,146
45336523741,148
45336539701,149
45336571793,150
45336587641,152
45336603636,153
45336635749,154
45336651621,156
45336667640,157
45336699611,158
45336715665,160
45336731696,161
45336763613,162
45336779537,163
45336795574,163
45336828133,163
45336843602,163
45336859574,163
45336891530,163
45336907485,163
45336923403,163
45336939547,163
45336955537,163
45336971618,163
45336987506,163
45337003489,163
45337019468,163
45337035469,163
45337051419,163
45337067436,163
45337083466,163
45337099406,163
45337115458,163
45337131435,163
45337147379,163
45337163385,163
45337179307,163
45337195851,163
45337211284,163
45337227344,163
45337243286,163
45337259276,163
45337275259,163
45337291283,163
45337307265,163
45337323316,163
45337339302,163
45337355245,163
45337371196,163
45337403136,163
45337419067,164
45337435198,165
45337467121,167
45337483067,169
45337499111,171
45337531069,172
45337547074,174
45337563248,175
45337595048,176
45337611077,176
45337627079,176
45337659032,176
45337675055,176
45337690943,176
45337722988,176
45337738944,176
45337754922,176
45337770945,176
45337787088,176
45337802938,176
45337818932,176
45337834872,176
45337850905,176
45337866867,176
45337882868,176
45337898988,176
45337914917,176
45337930886,176
45337946760,176
45337962765,176
45337978824,176
45337994827,176
45338010775,176
45338026779,176
45338043450,176
45338058873,176
45338074799,176
45338090749,176
45338106754,176
45338122755,176
45338138755,176
45338154718,176
45338170673,176
45338186615,176
45338202624,176
45338234611,176
45338250668,175
45338266617,174
45338298681,172
45338314648,170
45338330606,169
45338362525,168
45338378572,166
45338394704,165
45338426617,164
45338442610,163
45338458555,163
45338490498,163
45338506460,163
45338522444,163
45338554493,163
45338570567,163
45338586470,163
45338602516,163
45338618440,163
45338634352,163
45338650389,163
45338666428,163
45338682445,163
45338698381,163
45338714363,163
45338730349,163
45338746251,163
45338762370,163
45338778334,163
45338794318,163
45338810721,163
45338826340,163
45338842268,163
45338858228,163
45338874164,163
45338890176,163
45338906151,163
45338922183,163
45338938212,163
45338954163,163
45338970149,163
45338986200,163
45339002162,163
45339018171,163
45339034072,163
45339066112,163
45339082156,162
45339098112,161
45339130079,160
45339146092,158
45339162135,157
45339194079,155
45339210459,153
45339226100,152
45339257967,151
45339274055,149
45339290020,148
45339321993,147
45339337915,145
45339353884,144
45339385896,143
45339401861,141
45339417879,140
45339449949,139
45339465961,137
45339482022,136
45339513893,135
45339529828,133
45339545876,132
45339577832,131
45339593797,129
45339609779,128
45339641723,126
45339657764,125
45339673780,124
45339705627,122
45339721627,121
45339737619,120
45339769659,118
45339785665,117
45339801793,116
45339833688,114
45339849623,113
45339865600,112
45339897547,111
45339913551,109
45339929582,108
45339961577,106
45339977534,105
45339993555,103
45340025516,102
45340041455,101
45340057481,100
45340089409,100
45340105384,100
45340121421,100
45340153456,100
45340169397,100
45340185391,100
45340217387,100
45340233371,100
45340249342,100
45340265366,100
45340281362,100
45340297294,100
45340313313,100
45340329369,100
45340345291,100
45340361246,100
45340377296,100
45340393259,100
45340409450,100
45340425223,100
45340441193,100
45340457165,100
45340473146,100
45340489147,100
45340505104,100
45340521217,100
45340537099,100
45340553236,100
45340569134,100
45340585053,100
45340601171,100
45340617067,100
45340633170,100
45340649172,100
45340665145,100
45340681020,100
45340697048,100
