timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-07-23T15:16:24.595019,-29.0,28.0,22.0,-27.0,-44.0,8.0,-14.0,20.0,43.0,-40.0,-14.0,-39.0,-15.08,27.45,30.880000000000003,-32.66,-44.0,17.08,-1.9100000000000001,3.3099999999999987,43.68,-60.81,-14.99,-6.030000000000001
2025-07-23T15:16:24.599263,-25.0,21.0,20.0,36.0,-48.0,-64.0,11.0,66.0,68.0,14.0,9.0,9.0,-11.08,20.45,28.880000000000003,30.34,-48.0,-54.92,23.09,49.31,68.68,-6.809999999999999,8.01,41.97
2025-07-23T15:16:24.606889,-23.0,30.0,-56.0,6.0,-27.0,13.0,-31.0,-56.0,13.0,27.0,47.0,-56.0,-9.08,29.45,-47.12,0.33999999999999986,-27.0,22.08,-18.91,-72.69,13.68,6.190000000000001,46.01,-23.03
2025-07-23T15:16:24.611224,57.0,-25.0,-2.0,20.0,-5.0,4.0,-50.0,100.0,-65.0,14.0,36.0,-55.0,70.92,-25.55,6.880000000000001,14.34,-5.0,13.08,-37.91,83.31,-64.32,-6.809999999999999,35.01,-22.03
2025-07-23T15:16:24.619297,54.0,68.0,3.0,44.0,39.0,27.0,-21.0,5.0,-35.0,18.0,-15.0,-46.0,67.92,67.45,11.88,38.34,39.0,36.08,-8.91,-11.690000000000001,-34.32,-2.8099999999999987,-15.99,-13.030000000000001
2025-07-23T15:16:24.623647,-23.0,-5.0,7.0,25.0,61.0,-18.0,-15.0,57.0,-4.0,26.0,-61.0,-64.0,-9.08,-5.55,15.88,19.34,61.0,-8.92,-2.91,40.31,-3.32,5.190000000000001,-61.99,-31.03
2025-07-23T15:16:24.631604,-87.0,13.0,27.0,5.0,5.0,-11.0,-46.0,68.0,19.0,73.0,1.0,-9.0,-73.08,12.45,35.88,-0.6600000000000001,5.0,-1.92,-33.91,51.31,19.68,52.19,0.010000000000000009,23.97
2025-07-23T15:16:24.635752,-25.0,49.0,-13.0,-8.0,26.0,-43.0,33.0,-17.0,59.0,61.0,-8.0,-2.0,-11.08,48.45,-4.119999999999999,-13.66,26.0,-33.92,45.09,-33.69,59.68,40.19,-8.99,30.97
2025-07-23T15:16:24.639935,-25.0,2.0,0.0,-2.0,-4.0,-33.0,7.0,47.0,-4.0,17.0,15.0,-106.0,-11.08,1.45,8.88,-7.66,-4.0,-23.92,19.09,30.31,-3.32,-3.8099999999999987,14.01,-73.03
2025-07-23T15:16:24.648396,51.0,58.0,43.0,-26.0,-46.0,-13.0,11.0,-15.0,-33.0,58.0,40.0,-45.0,64.92,57.45,51.88,-31.66,-46.0,-3.92,23.09,-31.69,-32.32,37.19,39.01,-12.030000000000001
2025-07-23T15:16:24.656090,-48.0,161.0,-19.0,-1.0,-41.0,-52.0,-22.0,-9.0,36.0,154.0,-45.0,-49.0,-34.08,160.45,-10.12,-6.66,-41.0,-42.92,-9.91,-25.69,36.68,133.19,-45.99,-16.03
2025-07-23T15:16:24.660280,2.0,59.0,-59.0,46.0,47.0,-24.0,-5.0,-7.0,32.0,24.0,13.0,-16.0,15.92,58.45,-50.12,40.34,47.0,-14.92,7.09,-23.69,32.68,3.1900000000000013,12.01,16.97
2025-07-23T15:16:24.664842,-6.0,23.0,-62.0,-11.0,5.0,-20.0,12.0,-10.0,31.0,-53.0,7.0,-33.0,7.92,22.45,-53.12,-16.66,5.0,-10.92,24.09,-26.69,31.68,-73.81,6.01,-0.030000000000001137
2025-07-23T15:16:24.672601,56.0,54.0,-15.0,0.0,-12.0,58.0,-21.0,-6.0,49.0,-26.0,22.0,32.0,69.92,53.45,-6.119999999999999,-5.66,-12.0,67.08,-8.91,-22.69,49.68,-46.81,21.01,64.97
