timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-07-28T18:42:53.539948,27.0,-8.0,20.0,-9.0,20.0,5.0,55.0,-83.0,65.0,-23.0,-6.0,-43.0,1.6799999999999997,10.010000000000002,-2.3200000000000003,-4.14,37.59,12.61,53.51,-80.48,53.19,-29.09,33.15,-47.85
2025-07-28T18:42:53.544050,76.0,4.0,-16.0,67.0,37.0,24.0,19.0,25.0,57.0,32.0,77.0,-74.0,50.68,22.01,-38.32,71.86,54.59,31.61,17.51,27.52,45.19,25.91,116.15,-78.85
2025-07-28T18:42:53.552257,84.0,-14.0,8.0,67.0,-42.0,-1.0,47.0,11.0,7.0,-30.0,45.0,-72.0,58.68,4.010000000000002,-14.32,71.86,-24.41,6.61,45.51,13.52,-4.8100000000000005,-36.09,84.15,-76.85
2025-07-28T18:42:53.556447,36.0,-5.0,-42.0,44.0,-2.0,-29.0,-21.0,-1.0,58.0,-34.0,47.0,-71.0,10.68,13.010000000000002,-64.32,48.86,15.59,-21.39,-22.49,1.52,46.19,-40.09,86.15,-75.85
2025-07-28T18:42:53.564787,30.0,4.0,65.0,2.0,-52.0,-38.0,4.0,-70.0,83.0,-41.0,87.0,-24.0,4.68,22.01,42.68,6.86,-34.41,-30.39,2.51,-67.48,71.19,-47.09,126.15,-28.85
2025-07-28T18:42:53.569324,12.0,41.0,18.0,1.0,-65.0,-16.0,51.0,-15.0,28.0,-47.0,-27.0,-37.0,-13.32,59.010000000000005,-4.32,5.86,-47.41,-8.39,49.51,-12.48,16.189999999999998,-53.09,12.149999999999999,-41.85
2025-07-28T18:42:53.576876,56.0,54.0,41.0,0.0,28.0,26.0,82.0,-23.0,-1.0,3.0,44.0,21.0,30.68,72.01,18.68,4.86,45.59,33.61,80.51,-20.48,-12.81,-3.09,83.15,16.15
2025-07-28T18:42:53.581163,-15.0,-44.0,37.0,7.0,-49.0,-28.0,79.0,-18.0,76.0,26.0,-28.0,-40.0,-40.32,-25.99,14.68,11.86,-31.41,-20.39,77.51,-15.48,64.19,19.91,11.149999999999999,-44.85
2025-07-28T18:42:53.589088,-46.0,-51.0,23.0,-24.0,-87.0,38.0,12.0,-40.0,60.0,-69.0,3.0,-49.0,-71.32,-32.989999999999995,0.6799999999999997,-19.14,-69.41,45.61,10.51,-37.48,48.19,-75.09,42.15,-53.85
2025-07-28T18:42:53.593329,-1.0,46.0,77.0,-4.0,79.0,-5.0,75.0,-44.0,60.0,-9.0,-17.0,-81.0,-26.32,64.01,54.68,0.8600000000000003,96.59,2.6100000000000003,73.51,-41.48,48.19,-15.09,22.15,-85.85
2025-07-28T18:42:53.601505,-44.0,4.0,63.0,-49.0,2.0,-54.0,-24.0,-44.0,30.0,-77.0,65.0,-53.0,-69.32,22.01,40.68,-44.14,19.59,-46.39,-25.49,-41.48,18.189999999999998,-83.09,104.15,-57.85
