timestamp_us,position
1755518048697749,100
1755518048713770,100
1755518048729824,100
1755518048745782,100
1755518048761700,100
1755518048777718,100
1755518048793698,100
1755518048809860,100
1755518048825859,100
1755518048841676,100
1755518048857683,100
1755518048873772,100
1755518048889577,100
1755518048905665,100
1755518048921603,100
1755518048937632,100
1755518048953594,100
1755518048969557,100
1755518048985790,100
1755518049001773,100
1755518049017549,100
1755518049033758,100
1755518049049610,100
1755518049065540,100
1755518049081525,100
1755518049097513,100
1755518049113520,100
1755518049129468,100
1755518049145440,100
1755518049161441,100
1755518049177467,100
1755518049209489,100
1755518049225506,101
1755518049241417,103
1755518049273428,104
1755518049289436,107
1755518049305472,108
1755518049337336,109
1755518049353328,111
1755518049369286,112
1755518049401430,113
1755518049417329,115
1755518049433262,115
1755518049465326,117
1755518049481229,119
1755518049497286,120
1755518049529397,121
1755518049545202,123
1755518049561171,124
1755518049593159,125
1755518049609128,127
1755518049625207,128
1755518049657172,129
1755518049673233,131
1755518049689139,132
1755518049721116,133
1755518049737155,135
1755518049753119,136
1755518049785071,137
1755518049801031,139
1755518049817065,140
1755518049849197,141
1755518049865105,143
1755518049880929,144
1755518049913006,146
1755518049928995,147
1755518049944962,148
1755518049976918,150
1755518049992932,151
1755518050009081,152
1755518050041084,154
1755518050056903,156
1755518050072868,157
1755518050104827,158
1755518050120814,159
1755518050136873,160
1755518050168854,162
1755518050184852,163
1755518050200787,163
1755518050232768,163
1755518050248791,163
1755518050264754,163
1755518050296784,163
1755518050312694,163
1755518050328796,163
1755518050344719,163
1755518050360671,163
1755518050376732,163
1755518050392642,163
1755518050408746,163
1755518050424714,163
1755518050440662,163
1755518050456604,163
1755518050472766,163
1755518050488783,163
1755518050504768,163
1755518050520589,163
1755518050536778,163
1755518050552784,163
1755518050568621,163
1755518050584546,163
1755518050600508,163
1755518050616516,163
1755518050632518,163
1755518050648529,163
1755518050664519,163
1755518050680540,163
1755518050696738,163
1755518050712621,163
1755518050728465,163
1755518050744468,163
1755518050760436,163
1755518050776419,163
1755518050808451,163
1755518050824409,165
1755518050840451,166
1755518050872462,168
1755518050888468,170
1755518050904323,171
1755518050936326,173
1755518050952289,174
1755518050968306,175
1755518051000488,176
1755518051016269,176
1755518051032318,176
1755518051064235,176
1755518051080504,176
1755518051096253,176
1755518051128254,176
1755518051144351,176
1755518051160282,176
1755518051176210,176
1755518051192308,176
1755518051208149,176
1755518051224216,176
1755518051240231,176
1755518051256318,176
1755518051272124,176
1755518051288049,176
1755518051304259,176
1755518051320257,176
1755518051336235,176
1755518051352235,176
1755518051368057,176
1755518051384030,176
1755518051400020,176
1755518051416020,176
1755518051432022,176
1755518051448041,176
1755518051463980,176
1755518051480016,176
1755518051496022,176
1755518051511952,176
1755518051527949,176
1755518051543943,176
1755518051559967,176
1755518051575919,176
1755518051591959,176
1755518051607933,176
1755518051640022,176
1755518051655971,175
1755518051671909,174
1755518051704150,172
1755518051720075,170
1755518051736069,169
1755518051767821,167
1755518051783889,166
1755518051799830,165
1755518051832054,164
1755518051848006,163
1755518051863737,163
1755518051895781,163
1755518051911747,163
1755518051927776,163
1755518051959719,163
1755518051975712,163
1755518051991646,163
1755518052007655,163
1755518052023668,163
1755518052039687,163
1755518052055644,163
1755518052071642,163
1755518052087639,163
1755518052103613,163
1755518052119606,163
1755518052135574,163
1755518052151532,163
1755518052167583,163
1755518052183551,163
1755518052199535,163
1755518052215521,163
1755518052231781,163
1755518052247520,163
1755518052263587,163
1755518052279473,163
1755518052295510,163
1755518052311471,163
1755518052327496,163
1755518052343478,163
1755518052359465,163
1755518052375526,163
1755518052391476,163
1755518052407412,163
1755518052423411,163
1755518052439423,163
1755518052471495,163
1755518052487448,162
1755518052503623,161
1755518052535315,160
1755518052551399,158
1755518052567328,156
1755518052599312,155
1755518052615270,153
1755518052631301,152
1755518052663269,151
1755518052679261,149
1755518052695186,148
1755518052727202,147
1755518052743237,145
1755518052759169,144
1755518052791163,143
1755518052807163,141
1755518052823252,140
1755518052855274,138
1755518052871158,137
1755518052887116,136
1755518052919110,134
1755518052935051,133
1755518052951234,132
1755518052983240,130
1755518052999040,129
1755518053015227,128
1755518053047011,126
1755518053063187,125
1755518053079038,124
1755518053111016,122
1755518053126963,121
1755518053143105,120
1755518053174910,118
1755518053190957,117
1755518053207180,116
1755518053238917,115
1755518053254844,113
1755518053270860,112
1755518053302977,111
1755518053319059,109
1755518053334826,108
1755518053366781,107
1755518053382767,105
1755518053398781,104
1755518053430779,102
1755518053446807,101
1755518053462729,100
1755518053494743,100
1755518053510716,100
1755518053526702,100
1755518053558712,100
1755518053574651,100
1755518053590634,100
1755518053622620,100
1755518053638599,100
1755518053654813,100
1755518053670814,100
1755518053686791,100
1755518053702625,100
1755518053718692,100
1755518053734802,100
1755518053750647,100
1755518053766551,100
1755518053782554,100
1755518053798597,100
1755518053814563,100
1755518053830527,100
1755518053846745,100
1755518053862492,100
1755518053878564,100
1755518053894533,100
1755518053910518,100
1755518053926503,100
1755518053942495,100
1755518053958491,100
1755518053974466,100
1755518053990565,100
1755518054006419,100
1755518054022505,100
1755518054038599,100
1755518054054424,100
1755518054070508,100
1755518054086425,100
1755518054102413,100
