timestamp_us,position
1755089169119310,100
1755089169135332,100
1755089169151235,100
1755089169167261,100
1755089169183200,100
1755089169199212,100
1755089169215210,100
1755089169231402,100
1755089169247285,100
1755089169263264,100
1755089169279200,100
1755089169295259,100
1755089169311151,100
1755089169327126,100
1755089169343190,100
1755089169359129,100
1755089169375123,100
1755089169391165,100
1755089169407131,100
1755089169423140,100
1755089169439080,100
1755089169455029,100
1755089169471106,100
1755089169486969,100
1755089169503158,100
1755089169518978,100
1755089169534976,100
1755089169550989,100
1755089169567000,100
1755089169582954,100
1755089169599019,100
1755089169631203,100
1755089169646970,101
1755089169663080,103
1755089169694923,105
1755089169710856,107
1755089169726869,108
1755089169759062,109
1755089169774902,111
1755089169790829,112
1755089169822989,113
1755089169838835,115
1755089169854790,116
1755089169886867,118
1755089169902791,119
1755089169918746,121
1755089169950794,122
1755089169966869,123
1755089169982844,124
1755089170014786,126
1755089170031612,127
1755089170046826,128
1755089170078716,130
1755089170094695,131
1755089170110669,133
1755089170142581,134
1755089170158588,136
1755089170174538,137
1755089170206653,138
1755089170222686,140
1755089170238648,141
1755089170270645,142
1755089170286664,144
1755089170302689,145
1755089170334641,146
1755089170350509,148
1755089170366559,149
1755089170398589,151
1755089170414504,152
1755089170430422,153
1755089170462603,155
1755089170478578,156
1755089170494706,157
1755089170526543,159
1755089170542432,160
1755089170558370,161
1755089170590490,163
1755089170606471,163
1755089170622506,163
1755089170654544,163
1755089170670378,163
1755089170686296,163
1755089170718505,163
1755089170734481,163
1755089170750311,163
1755089170766268,163
1755089170782220,163
1755089170798270,163
1755089170814192,163
1755089170830299,163
1755089170846271,163
1755089170862208,163
1755089170878334,163
1755089170894437,163
1755089170910263,163
1755089170926262,163
1755089170942228,163
1755089170958230,163
1755089170974324,163
1755089170990197,163
1755089171006313,163
1755089171022087,163
1755089171038161,163
1755089171054220,163
1755089171070239,163
1755089171086151,163
1755089171102098,163
1755089171118067,163
1755089171134057,163
1755089171149960,163
1755089171166073,163
1755089171182150,163
1755089171198012,163
1755089171230092,163
1755089171245936,164
1755089171261991,165
1755089171293906,167
1755089171310253,169
1755089171326024,171
1755089171358021,172
1755089171374006,174
1755089171390026,175
1755089171421986,176
1755089171437907,176
1755089171453923,176
1755089171485939,176
1755089171501928,176
1755089171517944,176
1755089171550005,176
1755089171565936,176
1755089171581982,176
1755089171597832,176
1755089171613763,176
1755089171629714,176
1755089171645867,176
1755089171661854,176
1755089171677768,176
1755089171693846,176
1755089171709851,176
1755089171725757,176
1755089171741787,176
1755089171757882,176
1755089171773704,176
1755089171789710,176
1755089171805721,176
1755089171821720,176
1755089171837639,176
1755089171853697,176
1755089171869671,176
1755089171885715,176
1755089171901707,176
1755089171917710,176
1755089171933670,176
1755089171949581,176
1755089171965529,176
1755089171981586,176
1755089171997599,176
1755089172013495,176
1755089172029454,176
1755089172061477,176
1755089172077521,175
1755089172093540,174
1755089172125538,172
1755089172141674,170
1755089172157472,169
1755089172189491,167
1755089172205394,166
1755089172221327,165
1755089172253472,164
1755089172269328,163
1755089172285312,163
1755089172317466,163
1755089172333392,163
1755089172349368,163
1755089172381417,163
1755089172397462,163
1755089172413391,163
1755089172429339,163
1755089172445325,163
1755089172461324,163
1755089172477284,163
1755089172493269,163
1755089172509200,163
1755089172525199,163
1755089172541197,163
1755089172557322,163
1755089172573124,163
1755089172589081,163
1755089172605055,163
1755089172621135,163
1755089172637147,163
1755089172653118,163
1755089172669234,163
1755089172685121,163
1755089172701062,163
1755089172717048,163
1755089172733224,163
1755089172749184,163
1755089172764997,163
1755089172781012,163
1755089172797184,163
1755089172813002,163
1755089172829223,163
1755089172844994,163
1755089172860985,163
1755089172892999,163
1755089172909183,162
1755089172925053,161
1755089172956971,160
1755089172973237,158
1755089172988931,156
1755089173020850,155
1755089173036863,153
1755089173052844,152
1755089173084885,151
1755089173100826,149
1755089173116831,148
1755089173148840,147
1755089173165019,145
1755089173180884,144
1755089173212939,143
1755089173228976,141
1755089173245051,140
1755089173276810,138
1755089173292730,137
1755089173308794,136
1755089173340724,134
1755089173356707,133
1755089173372788,132
1755089173404925,130
1755089173420789,129
1755089173436731,128
1755089173468907,126
1755089173484771,125
1755089173500713,124
1755089173532733,123
1755089173548735,121
1755089173564616,120
1755089173596536,118
1755089173612524,117
1755089173628585,116
1755089173660554,114
1755089173676590,112
1755089173692649,112
1755089173724622,110
1755089173740527,109
1755089173756612,108
1755089173788545,106
1755089173804419,104
1755089173820529,103
1755089173852510,102
1755089173868523,100
1755089173884520,100
1755089173916518,100
1755089173932509,100
1755089173948504,100
1755089173980383,100
1755089173996472,100
1755089174012305,100
1755089174028305,100
1755089174044433,100
1755089174060512,100
1755089174076532,100
1755089174092337,100
1755089174108482,100
1755089174124312,100
1755089174140341,100
1755089174156271,100
1755089174172298,100
1755089174188224,100
1755089174204242,100
1755089174220408,100
1755089174236417,100
1755089174252413,100
1755089174268286,100
1755089174284272,100
1755089174300430,100
1755089174316216,100
1755089174332295,100
1755089174348277,100
1755089174364292,100
1755089174380127,100
1755089174396124,100
1755089174412107,100
1755089174428040,100
1755089174444129,100
1755089174460180,100
