timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-08-13T15:09:15.392809,-30.0,49.0,-19.0,51.0,-14.0,-20.0,-21.0,66.0,-35.0,-6.0,30.0,-41.0,-38.8,14.670000000000002,7.530000000000001,41.0,-34.61,-19.36,-23.65,48.89,-12.559999999999999,-11.3,25.07,-27.15
2025-08-13T15:09:15.397122,41.0,70.0,-116.0,-52.0,0.0,67.0,-4.0,44.0,-1.0,43.0,-9.0,82.0,32.2,35.67,-89.47,-62.0,-20.61,67.64,-6.65,26.89,21.44,37.7,-13.93,95.85
2025-08-13T15:09:15.401769,34.0,38.0,-45.0,5.0,-7.0,17.0,8.0,31.0,11.0,-21.0,-14.0,-9.0,25.2,3.6700000000000017,-18.47,-5.0,-27.61,17.64,5.35,13.89,33.44,-26.3,-18.93,4.85
2025-08-13T15:09:15.409331,4.0,14.0,-13.0,67.0,58.0,25.0,-1.0,68.0,-7.0,22.0,11.0,-33.0,-4.800000000000001,-20.33,13.530000000000001,57.0,37.39,25.64,-3.65,50.89,15.440000000000001,16.7,6.07,-19.15
2025-08-13T15:09:15.413616,-18.0,-2.0,-32.0,13.0,-10.0,0.0,-27.0,39.0,-15.0,4.0,-31.0,-31.0,-26.8,-36.33,-5.469999999999999,3.0,-30.61,0.64,-29.65,21.89,7.440000000000001,-1.2999999999999998,-35.93,-17.15
2025-08-13T15:09:15.422023,17.0,92.0,-52.0,111.0,10.0,-52.0,-52.0,57.0,-56.0,-34.0,-44.0,15.0,8.2,57.67,-25.47,101.0,-10.61,-51.36,-54.65,39.89,-33.56,-39.3,-48.93,28.85
2025-08-13T15:09:15.426835,62.0,65.0,-8.0,82.0,70.0,59.0,-18.0,6.0,-19.0,2.0,25.0,35.0,53.2,30.67,18.53,72.0,49.39,59.64,-20.65,-11.11,3.4400000000000013,-3.3,20.07,48.85
2025-08-13T15:09:15.433822,38.0,-12.0,-51.0,-4.0,72.0,-30.0,-17.0,23.0,4.0,49.0,-2.0,3.0,29.2,-46.33,-24.47,-14.0,51.39,-29.36,-19.65,5.890000000000001,26.44,43.7,-6.93,16.85
2025-08-13T15:09:15.439163,74.0,-67.0,-47.0,34.0,22.0,-44.0,1.0,-6.0,-5.0,-2.0,16.0,2.0,65.2,-101.33,-20.47,24.0,1.3900000000000006,-43.36,-1.65,-23.11,17.44,-7.3,11.07,15.85
2025-08-13T15:09:15.446136,46.0,8.0,34.0,32.0,-7.0,4.0,9.0,19.0,-42.0,20.0,29.0,-22.0,37.2,-26.33,60.53,22.0,-27.61,4.64,6.35,1.8900000000000006,-19.56,14.7,24.07,-8.15
2025-08-13T15:09:15.450660,17.0,-3.0,-26.0,2.0,34.0,-18.0,3.0,48.0,-13.0,4.0,32.0,-13.0,8.2,-37.33,0.5300000000000011,-8.0,13.39,-17.36,0.3500000000000001,30.89,9.440000000000001,-1.2999999999999998,27.07,0.8499999999999996
2025-08-13T15:09:15.458554,21.0,61.0,-38.0,29.0,-11.0,-43.0,2.0,-27.0,-14.0,41.0,-11.0,5.0,12.2,26.67,-11.469999999999999,19.0,-31.61,-42.36,-0.6499999999999999,-44.11,8.440000000000001,35.7,-15.93,18.85
2025-08-13T15:09:15.462798,33.0,8.0,30.0,2.0,3.0,6.0,12.0,-24.0,-27.0,35.0,3.0,-9.0,24.2,-26.33,56.53,-8.0,-17.61,6.64,9.35,-41.11,-4.559999999999999,29.7,-1.9299999999999997,4.85
2025-08-13T15:09:15.470659,23.0,-17.0,-47.0,25.0,-3.0,12.0,-64.0,11.0,-36.0,39.0,-21.0,-8.0,14.2,-51.33,-20.47,15.0,-23.61,12.64,-66.65,-6.109999999999999,-13.559999999999999,33.7,-25.93,5.85
2025-08-13T15:09:15.474952,32.0,88.0,11.0,-17.0,0.0,-49.0,-29.0,-11.0,-50.0,18.0,15.0,4.0,23.2,53.67,37.53,-27.0,-20.61,-48.36,-31.65,-28.11,-27.56,12.7,10.07,17.85
2025-08-13T15:09:15.482928,43.0,5.0,2.0,4.0,-2.0,-28.0,-45.0,-44.0,16.0,-8.0,-33.0,10.0,34.2,-29.33,28.53,-6.0,-22.61,-27.36,-47.65,-61.11,38.44,-13.3,-37.93,23.85
2025-08-13T15:09:15.487479,5.0,-7.0,-51.0,19.0,28.0,-17.0,12.0,-45.0,25.0,20.0,5.0,77.0,-3.8000000000000007,-41.33,-24.47,9.0,7.390000000000001,-16.36,9.35,-62.11,47.44,14.7,0.07000000000000028,90.85
2025-08-13T15:09:15.495240,72.0,74.0,-60.0,27.0,61.0,-9.0,-24.0,26.0,29.0,36.0,-38.0,36.0,63.2,39.67,-33.47,17.0,40.39,-8.36,-26.65,8.89,51.44,30.7,-42.93,49.85
2025-08-13T15:09:15.499807,52.0,38.0,-26.0,25.0,-8.0,-85.0,-32.0,61.0,-63.0,25.0,3.0,-54.0,43.2,3.6700000000000017,0.5300000000000011,15.0,-28.61,-84.36,-34.65,43.89,-40.56,19.7,-1.9299999999999997,-40.15
2025-08-13T15:09:15.507657,60.0,33.0,-30.0,37.0,67.0,2.0,-80.0,-10.0,-18.0,-52.0,38.0,34.0,51.2,-1.3299999999999983,-3.469999999999999,27.0,46.39,2.64,-82.65,-27.11,4.440000000000001,-57.3,33.07,47.85
