timestamp_us,position
1754680543201608,100
1754680543217545,100
1754680543233595,100
1754680543249628,100
1754680543265438,100
1754680543281515,100
1754680543297439,100
1754680543313567,100
1754680543329416,100
1754680543345491,100
1754680543361655,100
1754680543377452,100
1754680543393460,100
1754680543409435,100
1754680543425377,100
1754680543441462,100
1754680543457360,100
1754680543473391,100
1754680543489396,100
1754680543505346,100
1754680543521391,100
1754680543537254,100
1754680543553233,100
1754680543569206,100
1754680543585339,100
1754680543601309,100
1754680543617215,100
1754680543633206,100
1754680543649200,100
1754680543665172,100
1754680543681213,100
1754680543713156,100
1754680543729119,101
1754680543745151,102
1754680543777079,104
1754680543793105,106
1754680543809200,108
1754680543841090,109
1754680543857006,111
1754680543873130,112
1754680543905056,113
1754680543921050,115
1754680543936995,116
1754680543968997,118
1754680543984971,119
1754680544000836,120
1754680544032827,122
1754680544048809,123
1754680544064720,124
1754680544096870,126
1754680544112893,127
1754680544128783,128
1754680544161078,130
1754680544176824,131
1754680544192923,133
1754680544224648,134
1754680544240727,136
1754680544256636,137
1754680544288568,138
1754680544304563,140
1754680544320756,141
1754680544352703,142
1754680544368726,144
1754680544384607,145
1754680544416650,146
1754680544432545,148
1754680544448650,149
1754680544480481,150
1754680544496730,152
1754680544512513,153
1754680544544550,155
1754680544560410,156
1754680544576432,157
1754680544608482,159
1754680544624365,160
1754680544640342,161
1754680544672503,163
1754680544688493,163
1754680544704243,163
1754680544736426,163
1754680544752503,163
1754680544768341,163
1754680544800242,163
1754680544816341,163
1754680544832276,163
1754680544848228,163
1754680544864231,163
1754680544880146,163
1754680544896100,163
1754680544912142,163
1754680544928081,163
1754680544944104,163
1754680544960097,163
1754680544976034,163
1754680544992150,163
1754680545008101,163
1754680545024207,163
1754680545040073,163
1754680545056054,163
1754680545071983,163
1754680545088067,163
1754680545104065,163
1754680545120036,163
1754680545136253,163
1754680545152034,163
1754680545168016,163
1754680545183964,163
1754680545199881,163
1754680545215873,163
1754680545231921,163
1754680545247875,163
1754680545263907,163
1754680545279832,163
1754680545311798,163
1754680545327762,164
1754680545343908,165
1754680545375742,167
1754680545391861,169
1754680545407695,171
1754680545439717,172
1754680545455761,174
1754680545471798,175
1754680545503772,176
1754680545519702,176
1754680545535617,176
1754680545567607,176
1754680545583603,176
1754680545599545,176
1754680545631721,176
1754680545647639,176
1754680545663788,176
1754680545679642,176
1754680545695525,176
1754680545711546,176
1754680545727680,176
1754680545743425,176
1754680545759475,176
1754680545775390,176
1754680545791388,176
1754680545807620,176
1754680545823340,176
1754680545839518,176
1754680545855423,176
1754680545871380,176
1754680545887292,176
1754680545903498,176
1754680545919357,176
1754680545935349,176
1754680545951325,176
1754680545967359,176
1754680545983418,176
1754680545999301,176
1754680546015273,176
1754680546031237,176
1754680546047235,176
1754680546063212,176
1754680546079151,176
1754680546095087,176
1754680546111158,176
1754680546143043,176
1754680546159136,175
1754680546175051,174
1754680546207163,172
1754680546223116,170
1754680546239096,169
1754680546271048,168
1754680546287136,166
1754680546303112,165
1754680546334998,164
1754680546350979,163
1754680546367034,163
1754680546398922,163
1754680546414858,163
1754680546430842,163
1754680546462985,163
1754680546478964,163
1754680546494973,163
1754680546510964,163
1754680546526783,163
1754680546542800,163
1754680546558879,163
1754680546574898,163
1754680546590812,163
1754680546606699,163
1754680546622661,163
1754680546638817,163
1754680546654868,163
1754680546670644,163
1754680546686629,163
1754680546702678,163
1754680546718805,163
1754680546734867,163
1754680546750652,163
1754680546766643,163
1754680546782600,163
1754680546798608,163
1754680546814743,163
1754680546830586,163
1754680546846567,163
1754680546862472,163
1754680546878615,163
1754680546894744,163
1754680546910616,163
1754680546926522,163
1754680546942492,163
1754680546974573,163
1754680546990530,162
1754680547006449,161
1754680547038398,160
1754680547054635,158
1754680547070300,156
1754680547102346,155
1754680547118517,153
1754680547134554,152
1754680547166269,151
1754680547182194,149
1754680547198188,148
1754680547230268,147
1754680547246244,145
1754680547262142,144
1754680547294359,143
1754680547310165,141
1754680547326190,140
1754680547358142,138
1754680547374167,137
1754680547390148,136
1754680547422017,134
1754680547437964,133
1754680547454155,132
1754680547486118,130
1754680547502012,129
1754680547518006,128
1754680547550062,126
1754680547566046,125
1754680547582002,124
1754680547613996,122
1754680547630007,121
1754680547646077,120
1754680547677824,118
1754680547693837,117
1754680547709974,116
1754680547741709,114
1754680547757691,113
1754680547773722,112
1754680547805801,110
1754680547821699,109
1754680547837702,108
1754680547869665,106
1754680547885630,104
1754680547901632,103
1754680547933620,102
1754680547949792,100
1754680547965792,100
1754680547997786,100
1754680548013551,100
1754680548029546,100
1754680548061565,100
1754680548077555,100
1754680548093557,100
1754680548109775,100
1754680548125423,100
1754680548141501,100
1754680548157447,100
1754680548173413,100
1754680548189554,100
1754680548205395,100
1754680548221322,100
1754680548237480,100
1754680548253278,100
1754680548269255,100
1754680548285394,100
1754680548301339,100
1754680548317200,100
1754680548333417,100
1754680548349193,100
1754680548365307,100
1754680548381353,100
1754680548397346,100
1754680548413241,100
1754680548429255,100
1754680548445305,100
1754680548461371,100
1754680548477199,100
1754680548493126,100
1754680548509123,100
1754680548525215,100
1754680548541123,100
