timestamp_us,position
136408140916,100
136408156993,100
136408172986,100
136408189052,100
136408204999,100
136408221095,100
136408236982,100
136408253037,100
136408268859,100
136408284878,100
136408300852,100
136408316870,100
136408332818,100
136408348759,100
136408365033,100
136408381010,100
136408397015,100
136408412888,100
136408428852,100
136408444814,100
136408460809,100
136408476768,100
136408492778,100
136408508835,100
136408524772,100
136408540743,100
136408556859,100
136408572949,100
136408588971,100
136408604831,100
136408620794,100
136408652718,100
136408668665,101
136408684671,103
136408716863,105
136408732902,107
136408748727,108
136408780739,109
136408796639,111
136408812896,112
136408844656,113
136408860625,115
136408876581,116
136408908817,118
136408924690,120
136408940655,121
136408972636,122
136408988667,124
136409004564,124
136409036542,126
136409052576,127
136409068581,128
136409100733,130
136409116661,132
136409132521,133
136409164535,134
136409180436,136
136409196586,137
136409228587,138
136409244664,140
136409260661,141
136409292464,142
136409308436,144
136409324417,145
136409356442,146
136409372318,148
136409388476,149
136409420483,151
136409436391,152
136409452342,153
136409484268,155
136409500258,156
136409516307,157
136409548407,159
136409564473,160
136409580309,161
136409612243,163
136409628254,163
136409644458,163
136409676232,163
136409692221,163
136409708334,163
136409740233,163
136409756435,163
136409772208,163
136409788201,163
136409804208,163
136409820220,163
136409836172,163
136409852167,163
136409868237,163
136409884203,163
136409900268,163
136409916132,163
136409932088,163
136409948168,163
136409964124,163
136409980138,163
136409996139,163
136410012104,163
136410028056,163
136410044169,163
136410060060,163
136410076063,163
136410092042,163
136410108122,163
136410124083,163
136410140083,163
136410156199,163
136410172175,163
136410188037,163
136410203980,163
136410220047,163
136410251954,163
136410267987,164
136410283966,165
136410316022,167
136410332016,170
136410347956,171
136410380104,172
136410396130,174
136410411816,175
136410443871,176
136410459912,176
136410476040,176
136410507920,176
136410523804,176
136410540017,176
136410571964,176
136410587968,176
136410603850,176
136410619843,176
136410635857,176
136410651945,176
136410667790,176
136410683769,176
136410699670,176
136410715664,176
136410731829,176
136410747856,176
136410763794,176
136410779822,176
136410795669,176
136410811838,176
136410827820,176
136410843684,176
136410859633,176
136410875748,176
136410891771,176
136410907619,176
136410923755,176
136410939617,176
136410955645,176
136410971654,176
136410987587,176
136411003638,176
136411019511,176
136411035578,176
136411051545,176
136411083597,176
136411099610,175
136411115502,174
136411147701,172
136411163466,170
136411179468,169
136411211642,167
136411227651,165
136411243689,165
136411275661,163
136411291486,163
136411307545,163
136411339694,163
136411355476,163
136411371573,163
136411403678,163
136411419675,163
136411435633,163
136411451675,163
136411467485,163
136411483464,163
136411499328,163
136411515326,163
136411531370,163
136411547541,163
136411563321,163
136411579388,163
136411595444,163
136411611264,163
136411627246,163
136411643219,163
136411659418,163
136411675355,163
136411691227,163
136411707223,163
136411723194,163
136411739218,163
136411755208,163
136411771227,163
136411787200,163
136411803168,163
136411819201,163
136411835216,163
136411851227,163
136411867204,163
136411883240,163
136411915133,163
136411931100,162
136411947141,161
136411979169,160
136411995165,158
136412011173,157
136412043235,155
136412059269,153
136412075120,152
136412107052,151
136412123123,149
136412139050,148
136412171209,147
136412187096,145
136412203042,144
136412235218,143
136412251193,141
136412267112,140
136412299035,139
136412315045,137
136412330993,136
136412363032,135
136412378896,133
136412394930,132
136412426894,131
136412442978,129
136412458973,128
136412491127,127
136412507018,125
136412522935,124
136412554900,123
136412570898,121
136412586928,120
136412618827,119
136412634873,117
136412650918,116
136412683036,114
136412698742,113
136412714838,112
136412746767,110
136412762896,109
136412778898,108
136412810806,106
136412826946,104
136412842878,103
136412874721,102
136412890900,100
136412906660,100
136412938929,100
136412954871,100
136412970672,100
136413002801,100
136413018697,100
136413034613,100
136413066679,100
136413082580,100
136413098553,100
136413114718,100
136413130616,100
136413146612,100
136413162732,100
136413178735,100
136413194586,100
136413210571,100
136413226773,100
136413242573,100
136413258534,100
136413274467,100
136413290727,100
136413306466,100
136413322673,100
136413338584,100
136413354544,100
136413370472,100
136413386677,100
136413402444,100
136413418674,100
136413434476,100
136413450450,100
136413466677,100
136413482427,100
136413498438,100
136413514505,100
136413530516,100
136413546495,100
