timestamp_us,position
1754931211453671,100
1754931211469652,100
1754931211485852,100
1754931211501635,100
1754931211517806,100
1754931211533806,100
1754931211549745,100
1754931211565606,100
1754931211581632,100
1754931211597629,100
1754931211613617,100
1754931211629545,100
1754931211645693,100
1754931211661750,100
1754931211677589,100
1754931211693629,100
1754931211709617,100
1754931211725727,100
1754931211741561,100
1754931211757531,100
1754931211773606,100
1754931211789619,100
1754931211805506,100
1754931211821619,100
1754931211837585,100
1754931211853581,100
1754931211869532,100
1754931211885480,100
1754931211901620,100
1754931211917510,100
1754931211933473,100
1754931211965482,100
1754931211981438,101
1754931211997446,103
1754931212029478,105
1754931212045625,107
1754931212061498,108
1754931212093454,109
1754931212109411,111
1754931212125424,112
1754931212157595,113
1754931212173585,115
1754931212189591,116
1754931212221434,117
1754931212237520,119
1754931212253405,120
1754931212285377,122
1754931212301333,123
1754931212317337,124
1754931212349330,125
1754931212365431,127
1754931212381491,128
1754931212413327,129
1754931212429374,131
1754931212445377,132
1754931212477383,134
1754931212493495,136
1754931212509462,137
1754931212541503,138
1754931212557229,140
1754931212573229,141
1754931212605334,142
1754931212621277,144
1754931212637207,145
1754931212669469,146
1754931212685367,148
1754931212701404,149
1754931212733408,150
1754931212749156,152
1754931212765200,153
1754931212797222,154
1754931212813167,156
1754931212829139,157
1754931212861364,158
1754931212877311,160
1754931212893312,161
1754931212925186,162
1754931212941189,163
1754931212957224,163
1754931212989135,163
1754931213005337,163
1754931213021298,163
1754931213053299,163
1754931213069072,163
1754931213085161,163
1754931213101074,163
1754931213117224,163
1754931213133259,163
1754931213149139,163
1754931213165075,163
1754931213181010,163
1754931213197149,163
1754931213213019,163
1754931213229217,163
1754931213245115,163
1754931213261038,163
1754931213277002,163
1754931213293179,163
1754931213309002,163
1754931213325171,163
1754931213341143,163
1754931213357101,163
1754931213373168,163
1754931213388996,163
1754931213405150,163
1754931213421179,163
1754931213436935,163
1754931213452958,163
1754931213468914,163
1754931213485018,163
1754931213501050,163
1754931213517175,163
1754931213533114,163
1754931213565160,163
1754931213581111,164
1754931213596891,165
1754931213629095,167
1754931213644888,169
1754931213661019,171
1754931213693123,172
1754931213709078,174
1754931213724889,175
1754931213757024,176
1754931213772892,176
1754931213789008,176
1754931213821029,176
1754931213837104,176
1754931213852823,176
1754931213885009,176
1754931213900995,176
1754931213917103,176
1754931213932795,176
1754931213948834,176
1754931213964859,176
1754931213980849,176
1754931213996813,176
1754931214012913,176
1754931214028972,176
1754931214044746,176
1754931214060954,176
1754931214076984,176
1754931214093012,176
1754931214108826,176
1754931214124719,176
1754931214140958,176
1754931214156776,176
1754931214172815,176
1754931214188850,176
1754931214204724,176
1754931214220803,176
1754931214236849,176
1754931214252860,176
1754931214268823,176
1754931214284720,176
1754931214300864,176
1754931214316705,176
1754931214332785,176
1754931214348801,176
1754931214364767,176
1754931214396643,176
1754931214412676,175
1754931214428688,174
1754931214460696,172
1754931214476782,170
1754931214492683,169
1754931214524610,167
1754931214540831,166
1754931214556685,165
1754931214588764,164
1754931214604750,163
1754931214620554,163
1754931214652608,163
1754931214668527,163
1754931214684612,163
1754931214716743,163
1754931214732605,163
1754931214748503,163
1754931214764517,163
1754931214780495,163
1754931214796516,163
1754931214812556,163
1754931214828483,163
1754931214844594,163
1754931214860684,163
1754931214876484,163
1754931214892543,163
1754931214908579,163
1754931214924549,163
1754931214940519,163
1754931214956449,163
1754931214972394,163
1754931214988523,163
1754931215004431,163
1754931215020566,163
1754931215036360,163
1754931215052457,163
1754931215068578,163
1754931215084362,163
1754931215100440,163
1754931215116428,163
1754931215132486,163
1754931215148489,163
1754931215164399,163
1754931215180594,163
1754931215196372,163
1754931215228404,163
1754931215244518,162
1754931215260313,161
1754931215292285,160
1754931215308382,158
1754931215324317,156
1754931215356335,155
1754931215372424,153
1754931215388309,152
1754931215420435,151
1754931215436207,149
1754931215452221,148
1754931215484337,147
1754931215500255,145
1754931215516218,144
1754931215548403,143
1754931215564186,141
1754931215580220,140
1754931215612165,138
1754931215628199,137
1754931215644337,136
1754931215676168,134
1754931215692391,133
1754931215708193,132
1754931215740153,130
1754931215756384,129
1754931215772293,128
1754931215804151,126
1754931215820161,125
1754931215836174,124
1754931215868151,122
1754931215884297,121
1754931215900297,120
1754931215932256,118
1754931215948217,117
1754931215964091,116
1754931215996175,114
1754931216012110,113
1754931216028104,112
1754931216060282,110
1754931216076093,109
1754931216092051,108
1754931216124060,106
1754931216140082,104
1754931216156088,103
1754931216188118,102
1754931216204032,100
1754931216220037,100
1754931216252203,100
1754931216268009,100
1754931216284128,100
1754931216316099,100
1754931216331936,100
1754931216348003,100
1754931216379965,100
1754931216395946,100
1754931216412182,100
1754931216428195,100
1754931216443916,100
1754931216460145,100
1754931216475937,100
1754931216492140,100
1754931216507944,100
1754931216523887,100
1754931216539886,100
1754931216555919,100
1754931216571911,100
1754931216588019,100
1754931216604122,100
1754931216620126,100
1754931216636137,100
1754931216651979,100
1754931216667985,100
1754931216683935,100
1754931216699808,100
1754931216715996,100
1754931216731842,100
1754931216747891,100
1754931216764008,100
1754931216779871,100
1754931216795977,100
1754931216811794,100
1754931216827791,100
1754931216843852,100
1754931216859799,100
