timestamp_us,position
98400490505,100
98400506575,100
98400522464,100
98400538502,100
98400554512,100
98400570530,100
98400586659,100
98400602549,100
98400618386,100
98400634401,100
98400650358,100
98400666432,100
98400682558,100
98400698540,100
98400714378,100
98400730534,100
98400746489,100
98400762300,100
98400778249,100
98400794354,100
98400810270,100
98400826306,100
98400842255,100
98400858343,100
98400874294,100
98400890256,100
98400906302,100
98400922200,100
98400938141,100
98400954182,100
98400970177,100
98401002116,100
98401018103,101
98401034111,103
98401066075,104
98401082128,107
98401098119,108
98401130071,109
98401146016,111
98401162219,112
98401194109,113
98401210048,115
98401226066,116
98401258051,117
98401273994,119
98401289916,120
98401322056,122
98401338033,123
98401353935,124
98401385844,125
98401401818,127
98401417948,128
98401449848,130
98401465783,131
98401481808,132
98401513883,134
98401529832,135
98401545751,137
98401577949,138
98401593781,140
98401609675,141
98401641836,142
98401657746,144
98401673731,145
98401705707,146
98401721850,148
98401737716,149
98401769602,150
98401785585,152
98401801525,153
98401833561,154
98401849700,156
98401865578,157
98401897768,158
98401913586,160
98401929609,161
98401961531,162
98401977659,163
98401993605,163
98402025390,163
98402041416,163
98402057496,163
98402089535,163
98402105423,163
98402121375,163
98402137355,163
98402153551,163
98402169457,163
98402185326,163
98402201308,163
98402217265,163
98402233529,163
98402249251,163
98402265248,163
98402281291,163
98402297208,163
98402313338,163
98402329262,163
98402345248,163
98402361171,163
98402377212,163
98402393221,163
98402409370,163
98402425122,163
98402441108,163
98402457284,163
98402473097,163
98402489069,163
98402505065,163
98402521115,163
98402537067,163
98402553191,163
98402569122,163
98402600998,163
98402617187,164
98402633199,165
98402664951,167
98402681042,169
98402696985,171
98402728966,172
98402744991,174
98402760878,175
98402793048,176
98402808876,176
98402825025,176
98402856859,176
98402872834,176
98402888960,176
98402920809,176
98402936781,176
98402952728,176
98402968927,176
98402984713,176
98403000883,176
98403016713,176
98403032752,176
98403048739,176
98403064595,176
98403080797,176
98403096679,176
98403112664,176
98403128530,176
98403144741,176
98403160666,176
98403176624,176
98403192612,176
98403208602,176
98403224629,176
98403240619,176
98403256560,176
98403272544,176
98403288520,176
98403304579,176
98403320475,176
98403336641,176
98403352501,176
98403368407,176
98403384548,176
98403400570,176
98403432395,176
98403448370,175
98403464478,174
98403496500,172
98403512524,170
98403528333,169
98403560430,167
98403576335,166
98403592316,165
98403624235,164
98403640308,163
98403656293,163
98403688290,163
98403704225,163
98403720179,163
98403752187,163
98403768193,163
98403784129,163
98403800075,163
98403816052,163
98403832171,163
98403848117,163
98403864077,163
98403880238,163
98403896250,163
98403912110,163
98403928054,163
98403944268,163
98403960013,163
98403976053,163
98403991975,163
98404008053,163
98404023975,163
98404039974,163
98404056035,163
98404072043,163
98404087985,163
98404104042,163
98404120135,163
98404135919,163
98404152219,163
98404168047,163
98404183825,163
98404199883,163
98404215805,163
98404231902,163
98404263859,163
98404279872,162
98404295862,161
98404327897,160
98404343907,158
98404359727,156
98404391680,155
98404407729,153
98404423656,152
98404455930,151
98404471842,149
98404487685,148
98404519804,147
98404535619,145
98404551661,144
98404583575,143
98404599656,141
98404615556,140
98404647582,138
98404663661,137
98404679575,136
98404711723,134
98404727647,133
98404743499,132
98404775448,130
98404791425,129
98404807643,128
98404839559,126
98404855411,125
98404871360,124
98404903580,122
98404919369,121
98404935355,120
98404967274,118
98404983270,117
98404999240,116
98405031315,114
98405047318,113
98405063318,112
98405095241,110
98405111271,109
98405127226,108
98405159239,106
98405175169,105
98405191149,103
98405223176,102
98405239102,100
98405255054,100
98405287207,100
98405303099,100
98405319020,100
98405351080,100
98405367089,100
98405383232,100
98405414995,100
98405431147,100
98405447157,100
98405463179,100
98405478947,100
98405494920,100
98405511046,100
98405526963,100
98405542888,100
98405558887,100
98405574932,100
98405590843,100
98405606957,100
98405623024,100
98405638898,100
98405654849,100
98405670770,100
98405686848,100
98405702896,100
98405718978,100
98405734892,100
98405750761,100
98405766754,100
98405782933,100
98405798672,100
98405814680,100
98405830691,100
98405846684,100
98405862680,100
98405878775,100
98405894731,100
