timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-07-28T15:33:22.371466,20.0,45.0,4.0,17.0,-12.0,107.0,-15.0,59.0,-13.0,-3.0,35.0,47.0,-0.9200000000000017,11.86,12.52,-19.0,-35.04,119.67,-22.75,36.739999999999995,3.8500000000000014,-2.6,26.34,52.59
2025-07-28T15:33:22.375000,-90.0,112.0,30.0,-4.0,17.0,-26.0,62.0,-6.0,-26.0,-43.0,-23.0,24.0,-110.92,78.86,38.519999999999996,-40.0,-6.039999999999999,-13.33,54.25,-28.26,-9.149999999999999,-42.6,-31.66,29.59
2025-07-28T15:33:22.383081,-25.0,-25.0,9.0,52.0,76.0,-81.0,79.0,27.0,34.0,33.0,-45.0,-11.0,-45.92,-58.14,17.52,16.0,52.96,-68.33,71.25,4.739999999999998,50.85,33.4,-53.66,-5.41
2025-07-28T15:33:22.387300,13.0,23.0,-17.0,29.0,57.0,-1.0,9.0,40.0,-18.0,14.0,26.0,33.0,-7.920000000000002,-10.14,-8.48,-7.0,33.96,11.67,1.25,17.74,-1.1499999999999986,14.4,17.34,38.59
2025-07-28T15:33:22.395370,11.0,25.0,-16.0,71.0,5.0,67.0,16.0,53.0,27.0,93.0,28.0,-18.0,-9.920000000000002,-8.14,-7.48,35.0,-18.04,79.67,8.25,30.74,43.85,93.4,19.34,-12.41
2025-07-28T15:33:22.399687,-14.0,-8.0,-39.0,-44.0,37.0,-15.0,11.0,16.0,-68.0,19.0,16.0,-52.0,-34.92,-41.14,-30.48,-80.0,13.96,-2.33,3.25,-6.260000000000002,-51.15,19.4,7.34,-46.41
2025-07-28T15:33:22.407982,-22.0,36.0,-44.0,30.0,-37.0,-2.0,-25.0,32.0,-2.0,-5.0,-46.0,-15.0,-42.92,2.8599999999999994,-35.480000000000004,-6.0,-60.04,10.67,-32.75,9.739999999999998,14.850000000000001,-4.6,-54.66,-9.41
2025-07-28T15:33:22.412764,4.0,27.0,-62.0,10.0,93.0,-63.0,-60.0,47.0,-28.0,29.0,90.0,-77.0,-16.92,-6.140000000000001,-53.480000000000004,-26.0,69.96000000000001,-50.33,-67.75,24.74,-11.149999999999999,29.4,81.34,-71.41
2025-07-28T15:33:22.419979,32.0,-53.0,-84.0,-18.0,16.0,-45.0,5.0,69.0,79.0,48.0,32.0,-19.0,11.079999999999998,-86.14,-75.48,-54.0,-7.039999999999999,-32.33,-2.75,46.739999999999995,95.85,48.4,23.34,-13.41
2025-07-28T15:33:22.424181,-40.0,46.0,-15.0,-19.0,24.0,-20.0,18.0,64.0,-11.0,38.0,66.0,-15.0,-60.92,12.86,-6.48,-55.0,0.9600000000000009,-7.33,10.25,41.739999999999995,5.850000000000001,38.4,57.34,-9.41
2025-07-28T15:33:22.432307,40.0,11.0,-41.0,99.0,-33.0,25.0,48.0,43.0,-11.0,99.0,24.0,-46.0,19.08,-22.14,-32.480000000000004,63.0,-56.04,37.67,40.25,20.74,5.850000000000001,99.4,15.34,-40.41
2025-07-28T15:33:22.436573,2.0,20.0,-10.0,137.0,26.0,-67.0,28.0,45.0,-20.0,30.0,-34.0,-37.0,-18.92,-13.14,-1.4800000000000004,101.0,2.960000000000001,-54.33,20.25,22.74,-3.1499999999999986,30.4,-42.66,-31.41
2025-07-28T15:33:22.444473,22.0,-37.0,-21.0,9.0,18.0,30.0,27.0,21.0,-137.0,-3.0,30.0,15.0,1.0799999999999983,-70.14,-12.48,-27.0,-5.039999999999999,42.67,19.25,-1.2600000000000016,-120.15,-2.6,21.34,20.59
2025-07-28T15:33:22.448692,29.0,26.0,7.0,29.0,44.0,-28.0,33.0,-17.0,-25.0,19.0,24.0,2.0,8.079999999999998,-7.140000000000001,15.52,-7.0,20.96,-15.33,25.25,-39.260000000000005,-8.149999999999999,19.4,15.34,7.59
2025-07-28T15:33:22.456946,42.0,11.0,39.0,73.0,46.0,-26.0,82.0,5.0,-104.0,-8.0,24.0,-45.0,21.08,-22.14,47.519999999999996,37.0,22.96,-13.33,74.25,-17.26,-87.15,-7.6,15.34,-39.41
2025-07-28T15:33:22.461034,-24.0,64.0,57.0,3.0,7.0,4.0,9.0,61.0,-52.0,-2.0,12.0,-6.0,-44.92,30.86,65.52,-33.0,-16.04,16.67,1.25,38.739999999999995,-35.15,-1.6,3.34,-0.41000000000000014
2025-07-28T15:33:22.469284,76.0,34.0,-7.0,39.0,-43.0,26.0,5.0,70.0,-85.0,-17.0,-40.0,-33.0,55.08,0.8599999999999994,1.5199999999999996,3.0,-66.03999999999999,38.67,-2.75,47.739999999999995,-68.15,-16.6,-48.66,-27.41
