timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-07-22T15:44:53.819943,24.0,31.0,-15.0,8.0,37.0,-88.0,49.0,-24.0,-40.0,-69.0,50.0,16.0,26.32,-0.3099999999999987,1.0,35.85,3.8200000000000003,-77.15,67.07,-21.58,-12.61,-68.36,11.71,22.08
2025-07-22T15:44:53.823212,-57.0,24.0,-75.0,-34.0,80.0,-39.0,-54.0,-20.0,-76.0,-25.0,36.0,6.0,-54.68,-7.309999999999999,-59.0,-6.149999999999999,46.82,-28.15,-35.93,-17.58,-48.61,-24.36,-2.289999999999999,12.08
2025-07-22T15:44:53.830945,39.0,10.0,-82.0,-22.0,68.0,-30.0,30.0,13.0,7.0,-10.0,72.0,-30.0,41.32,-21.31,-66.0,5.850000000000001,34.82,-19.15,48.07,15.42,34.39,-9.36,33.71,-23.92
2025-07-22T15:44:53.835759,52.0,64.0,-16.0,-63.0,3.0,-38.0,22.0,-21.0,23.0,2.0,43.0,-25.0,54.32,32.69,0.0,-35.15,-30.18,-27.15,40.07,-18.58,50.39,2.64,4.710000000000001,-18.92
2025-07-22T15:44:53.843341,23.0,9.0,-20.0,-30.0,45.0,-21.0,-63.0,2.0,-49.0,-20.0,34.0,-50.0,25.32,-22.31,-4.0,-2.1499999999999986,11.82,-10.15,-44.93,4.42,-21.61,-19.36,-4.289999999999999,-43.92
2025-07-22T15:44:53.848093,-37.0,-6.0,3.0,-16.0,57.0,-26.0,-10.0,16.0,68.0,-47.0,-58.0,10.0,-34.68,-37.31,19.0,11.850000000000001,23.82,-15.15,8.07,18.42,95.39,-46.36,-96.28999999999999,16.08
2025-07-22T15:44:53.855716,-18.0,27.0,-19.0,-55.0,39.0,-33.0,-24.0,-13.0,-34.0,-1.0,-19.0,-34.0,-15.68,-4.309999999999999,-3.0,-27.15,5.82,-22.15,-5.93,-10.58,-6.609999999999999,-0.36,-57.29,-27.92
2025-07-22T15:44:53.860188,18.0,70.0,22.0,-14.0,38.0,-6.0,-71.0,42.0,-37.0,-2.0,37.0,-38.0,20.32,38.69,38.0,13.850000000000001,4.82,4.85,-52.93,44.42,-9.61,-1.3599999999999999,-1.2899999999999991,-31.92
2025-07-22T15:44:53.868068,-39.0,27.0,25.0,-40.0,21.0,-30.0,-39.0,64.0,-13.0,-40.0,-12.0,2.0,-36.68,-4.309999999999999,41.0,-12.149999999999999,-12.18,-19.15,-20.93,66.42,14.39,-39.36,-50.29,8.08
2025-07-22T15:44:53.872678,-9.0,37.0,-29.0,-60.0,37.0,-66.0,15.0,19.0,-80.0,-5.0,36.0,-5.0,-6.68,5.690000000000001,-13.0,-32.15,3.8200000000000003,-55.15,33.07,21.42,-52.61,-4.36,-2.289999999999999,1.08
2025-07-22T15:44:53.880040,26.0,2.0,-16.0,-9.0,-14.0,-55.0,38.0,-11.0,-37.0,-19.0,70.0,55.0,28.32,-29.31,0.0,18.85,-47.18,-44.15,56.07,-8.58,-9.61,-18.36,31.71,61.08
2025-07-22T15:44:53.884475,-5.0,59.0,9.0,-42.0,84.0,-41.0,7.0,4.0,-44.0,-21.0,40.0,-21.0,-2.68,27.69,25.0,-14.149999999999999,50.82,-30.15,25.07,6.42,-16.61,-20.36,1.7100000000000009,-14.92
2025-07-22T15:44:53.892332,-20.0,82.0,77.0,-1.0,10.0,1.0,-11.0,-26.0,-9.0,-47.0,52.0,-21.0,-17.68,50.69,93.0,26.85,-23.18,11.85,7.07,-23.58,18.39,-46.36,13.71,-14.92
2025-07-22T15:44:53.896573,-7.0,54.0,-41.0,8.0,65.0,-15.0,-33.0,-15.0,-50.0,9.0,68.0,-28.0,-4.68,22.69,-25.0,35.85,31.82,-4.15,-14.93,-12.58,-22.61,9.64,29.71,-21.92
2025-07-22T15:44:53.904735,-74.0,120.0,3.0,79.0,54.0,-13.0,-6.0,-5.0,-10.0,-11.0,2.0,-33.0,-71.68,88.69,19.0,106.85,20.82,-2.1500000000000004,12.07,-2.58,17.39,-10.36,-36.29,-26.92
2025-07-22T15:44:53.908908,-2.0,82.0,-26.0,-59.0,55.0,31.0,-51.0,-31.0,-29.0,-45.0,83.0,3.0,0.31999999999999984,50.69,-10.0,-31.15,21.82,41.85,-32.93,-28.58,-1.6099999999999994,-44.36,44.71,9.08
2025-07-22T15:44:53.917246,-50.0,43.0,-5.0,-98.0,36.0,-22.0,-39.0,11.0,42.0,19.0,58.0,-28.0,-47.68,11.690000000000001,11.0,-70.15,2.8200000000000003,-11.15,-20.93,13.42,69.39,19.64,19.71,-21.92
2025-07-22T15:44:53.921336,-39.0,86.0,-39.0,-96.0,20.0,-8.0,-20.0,-65.0,-10.0,18.0,49.0,9.0,-36.68,54.69,-23.0,-68.15,-13.18,2.8499999999999996,-1.9299999999999997,-62.58,17.39,18.64,10.71,15.08
2025-07-22T15:44:53.929367,-77.0,120.0,-43.0,-101.0,54.0,-12.0,-20.0,-4.0,-57.0,51.0,76.0,45.0,-74.68,88.69,-27.0,-73.15,20.82,-1.1500000000000004,-1.9299999999999997,-1.58,-29.61,51.64,37.71,51.08
2025-07-22T15:44:53.933877,28.0,1.0,-82.0,-4.0,37.0,47.0,22.0,56.0,-54.0,-13.0,21.0,34.0,30.32,-30.31,-66.0,23.85,3.8200000000000003,57.85,40.07,58.42,-26.61,-12.36,-17.29,40.08
2025-07-22T15:44:53.941501,35.0,119.0,-28.0,-57.0,-7.0,38.0,29.0,26.0,-24.0,62.0,9.0,-12.0,37.32,87.69,-12.0,-29.15,-40.18,48.85,47.07,28.42,3.3900000000000006,62.64,-29.29,-5.92
