timestamp_us,position
129409985612,100
129410001619,100
129410017552,100
129410033642,100
129410049646,100
129410065462,100
129410081636,100
129410097551,100
129410113466,100
129410129475,100
129410145600,100
129410161452,100
129410177497,100
129410193461,100
129410209463,100
129410225502,100
129410241476,100
129410257469,100
129410273494,100
129410289481,100
129410305472,100
129410321468,100
129410337482,100
129410353585,100
129410369605,100
129410385622,100
129410401354,100
129410417486,100
129410433603,100
129410449597,100
129410465351,100
129410497367,100
129410513295,101
129410529555,103
129410561304,104
129410577324,107
129410593361,108
129410625357,109
129410641259,111
129410657246,112
129410689251,113
129410705185,115
129410721283,116
129410753242,118
129410769183,120
129410785198,121
129410817170,122
129410833261,124
129410849277,125
129410881253,126
129410897196,127
129410913237,128
129410945214,130
129410961149,132
129410977138,133
129411009055,134
129411025056,136
129411041088,137
129411073080,138
129411089251,140
129411105182,141
129411137094,142
129411153052,144
129411169049,145
129411201183,146
129411217089,148
129411232959,149
129411265155,151
129411281014,152
129411297030,153
129411328977,155
129411344916,156
129411361161,157
129411392944,159
129411408906,160
129411424883,161
129411456899,163
129411472975,163
129411489027,163
129411521042,163
129411536879,163
129411552886,163
129411584928,163
129411601051,163
129411616912,163
129411632972,163
129411648902,163
129411664900,163
129411680819,163
129411697040,163
129411712963,163
129411728773,163
129411744764,163
129411760944,163
129411776941,163
129411792954,163
129411808936,163
129411824772,163
129411840711,163
129411856701,163
129411872663,163
129411888885,163
129411904707,163
129411920828,163
129411936831,163
129411952735,163
129411968794,163
129411984707,163
129412000626,163
129412016703,163
129412032816,163
129412048765,163
129412064644,163
129412096612,163
129412112765,164
129412128642,165
129412160678,167
129412176584,170
129412192600,171
129412224545,172
129412240560,174
129412256523,175
129412288728,176
129412304579,176
129412320662,176
129412352495,176
129412368719,176
129412384692,176
129412416620,176
129412432383,176
129412448620,176
129412464628,176
129412480610,176
129412496561,176
129412512405,176
129412528601,176
129412544581,176
129412560603,176
129412576391,176
129412592447,176
129412608573,176
129412624342,176
129412640565,176
129412656532,176
129412672378,176
129412688345,176
129412704365,176
129412720296,176
129412736537,176
129412752322,176
129412768531,176
129412784477,176
129412800289,176
129412816314,176
129412832339,176
129412848281,176
129412864347,176
129412880405,176
129412896443,176
129412928287,176
129412944203,175
129412960332,174
129412992380,172
129413008196,170
129413024201,169
129413056174,167
129413072226,166
129413088161,165
129413120088,163
129413136137,163
129413152091,163
129413184121,163
129413200250,163
129413216122,163
129413248066,163
129413264131,163
129413280226,163
129413296247,163
129413312164,163
129413328224,163
129413344086,163
129413360184,163
129413376024,163
129413391972,163
129413408018,163
129413423954,163
129413440134,163
129413456167,163
129413472017,163
129413488177,163
129413503940,163
129413519939,163
129413536143,163
129413552144,163
129413568154,163
129413583948,163
129413600112,163
129413616047,163
129413632051,163
129413648122,163
129413664047,163
129413679867,163
129413695824,163
129413712121,163
129413727789,163
129413759800,163
129413776055,162
129413791882,161
129413823990,160
129413839900,158
129413855791,156
129413887992,155
129413903786,153
129413919847,152
129413952066,151
129413967914,149
129413983935,148
129414015769,147
129414031717,145
129414047682,144
129414079692,143
129414095656,141
129414111863,140
129414143734,138
129414159844,137
129414175754,136
129414207863,134
129414223829,133
129414239723,132
129414271800,130
129414287803,129
129414303825,128
129414335833,126
129414351551,125
129414367713,124
129414399507,122
129414415537,121
129414431527,120
129414463691,118
129414479701,117
129414495668,116
129414527512,114
129414543550,112
129414559478,111
129414591554,110
129414607512,108
129414623405,107
129414655557,106
129414671412,104
129414687424,103
129414719532,102
129414735424,100
129414751401,100
129414783501,100
129414799593,100
129414815613,100
129414847328,100
129414863308,100
129414879505,100
129414895326,100
129414911305,100
129414927302,100
129414943370,100
129414959498,100
129414975512,100
129414991487,100
129415007507,100
129415023256,100
129415039232,100
129415055249,100
129415071248,100
129415087383,100
129415103219,100
129415119255,100
129415135317,100
129415151266,100
129415167243,100
129415183224,100
129415199157,100
129415215279,100
129415231141,100
129415247237,100
129415263131,100
129415279119,100
129415295167,100
129415311248,100
129415327247,100
