timestamp_us,position
130343501680,100
130343517488,100
130343533516,100
130343549564,100
130343565547,100
130343581469,100
130343597636,100
130343613637,100
130343629638,100
130343645399,100
130343661397,100
130343677604,100
130343693428,100
130343709551,100
130343725446,100
130343741413,100
130343757353,100
130343773551,100
130343789540,100
130343805531,100
130343821486,100
130343837521,100
130343853298,100
130343869466,100
130343885364,100
130343901396,100
130343917288,100
130343933322,100
130343949244,100
130343965366,100
130343981278,100
130344013394,100
130344029265,101
130344045279,102
130344077421,104
130344093276,106
130344109244,108
130344141386,109
130344157273,111
130344173248,112
130344205146,113
130344221171,115
130344237240,116
130344269268,118
130344285256,120
130344301107,121
130344333147,122
130344349111,124
130344365185,125
130344397117,126
130344413105,127
130344429025,128
130344461094,130
130344477214,132
130344493045,133
130344525246,134
130344541085,136
130344557025,137
130344588971,138
130344605052,140
130344620994,141
130344653087,142
130344668925,144
130344685121,145
130344717043,146
130344732901,148
130344748976,149
130344781118,151
130344796969,152
130344813078,153
130344845074,155
130344861052,156
130344876831,157
130344908863,159
130344924786,160
130344940855,161
130344973023,163
130344989049,163
130345005047,163
130345036806,163
130345052888,163
130345068815,163
130345100940,163
130345116958,163
130345132977,163
130345148929,163
130345164820,163
130345180811,163
130345196941,163
130345212818,163
130345228782,163
130345244811,163
130345260643,163
130345276690,163
130345292674,163
130345308897,163
130345324883,163
130345340924,163
130345356896,163
130345372909,163
130345388745,163
130345404626,163
130345420664,163
130345436801,163
130345452876,163
130345468887,163
130345484805,163
130345500797,163
130345516796,163
130345532581,163
130345548559,163
130345564666,163
130345580742,163
130345612664,163
130345628697,164
130345644698,165
130345676777,167
130345692772,170
130345708596,171
130345740499,172
130345756559,174
130345772700,175
130345804654,176
130345820651,176
130345836489,176
130345868655,176
130345884463,176
130345900443,176
130345932480,176
130345948663,176
130345964609,176
130345980605,176
130345996619,176
130346012607,176
130346028393,176
130346044614,176
130346060629,176
130346076366,176
130346092394,176
130346108558,176
130346124564,176
130346140325,176
130346156441,176
130346172461,176
130346188478,176
130346204368,176
130346220289,176
130346236296,176
130346252374,176
130346268310,176
130346284245,176
130346300430,176
130346316273,176
130346332420,176
130346348348,176
130346364216,176
130346380436,176
130346396440,176
130346412218,176
130346444296,176
130346460158,175
130346476332,174
130346508238,172
130346524279,170
130346540206,169
130346572199,167
130346588134,166
130346604166,165
130346636329,163
130346652141,163
130346668133,163
130346700101,163
130346716070,163
130346732095,163
130346764088,163
130346780050,163
130346796252,163
130346812224,163
130346828254,163
130346844252,163
130346860039,163
130346876209,163
130346892092,163
130346908106,163
130346924088,163
130346940085,163
130346956288,163
130346972046,163
130346988171,163
130347004033,163
130347020041,163
130347035981,163
130347051978,163
130347067939,163
130347083928,163
130347099951,163
130347115979,163
130347132079,163
130347148076,163
130347164117,163
130347180109,163
130347196088,163
130347211935,163
130347227817,163
130347243853,163
130347275868,163
130347292041,162
130347308024,161
130347340025,159
130347356023,158
130347371904,156
130347403905,155
130347419825,153
130347435795,152
130347467810,151
130347483927,149
130347499725,148
130347531970,147
130347547746,145
130347563691,144
130347595778,143
130347611744,141
130347627925,140
130347659825,139
130347675890,137
130347691670,136
130347723702,134
130347739855,133
130347755671,132
130347787688,131
130347803859,129
130347819900,128
130347851820,126
130347867589,125
130347883791,124
130347915620,122
130347931581,121
130347947610,120
130347979797,118
130347995782,117
130348011588,116
130348043587,114
130348059690,113
130348075580,112
130348107526,110
130348123655,109
130348139428,108
130348171654,106
130348187432,104
130348203384,103
130348235620,102
130348251410,100
130348267619,100
130348299581,100
130348315325,100
130348331579,100
130348363450,100
130348379495,100
130348395386,100
130348427317,100
130348443319,100
130348459471,100
130348475469,100
130348491345,100
130348507284,100
130348523492,100
130348539479,100
130348555483,100
130348571482,100
130348587285,100
130348603273,100
130348619332,100
130348635476,100
130348651250,100
130348667179,100
130348683495,100
130348699482,100
130348715195,100
130348731240,100
130348747212,100
130348763332,100
130348779139,100
130348795254,100
130348811262,100
130348827255,100
130348843255,100
130348859241,100
130348875249,100
130348891210,100
130348907176,100
