timestamp_us,position
150103918061,100
150103933758,100
150103949803,100
150103965824,100
150103981790,100
150103997752,100
150104013760,100
150104029941,100
150104045833,100
150104061737,100
150104077718,100
150104093902,100
150104109887,100
150104125739,100
150104141686,100
150104157693,100
150104173852,100
150104189782,100
150104205858,100
150104221750,100
150104237832,100
150104253666,100
150104269595,100
150104285608,100
150104301659,100
150104317630,100
150104333800,100
150104349678,100
150104365699,100
150104381600,100
150104397650,100
150104429584,100
150104445546,101
150104461533,103
150104493560,105
150104509654,107
150104525665,108
150104557635,109
150104573737,111
150104589570,112
150104621606,113
150104637571,115
150104653583,116
150104685732,118
150104701704,120
150104717576,121
150104749712,122
150104765648,124
150104781444,125
150104813442,126
150104829398,128
150104845621,129
150104877598,130
150104893476,132
150104909582,133
150104941367,134
150104957320,136
150104973348,137
150105005306,138
150105021536,140
150105037507,141
150105069371,142
150105085369,144
150105101307,145
150105133280,147
150105149292,148
150105165266,149
150105197259,151
150105213234,152
150105229229,153
150105261297,155
150105277380,157
150105293357,158
150105325345,159
150105341266,161
150105357223,162
150105389202,163
150105405165,163
150105421427,163
150105453298,163
150105469164,163
150105485189,163
150105517202,163
150105533058,163
150105549165,163
150105565246,163
150105581103,163
150105597248,163
150105613156,163
150105629094,163
150105645071,163
150105661013,163
150105677045,163
150105693068,163
150105709141,163
150105725222,163
150105741049,163
150105757009,163
150105773021,163
150105789087,163
150105804982,163
150105820979,163
150105836957,163
150105853176,163
150105869012,163
150105884973,163
150105901099,163
150105917192,163
150105932956,163
150105949103,163
150105964949,163
150105980921,163
150105996888,163
150106028899,163
150106044910,164
150106060870,165
150106093039,167
150106108833,169
150106125030,171
150106156828,172
150106172784,174
150106188846,175
150106220909,176
150106236946,176
150106252977,176
150106284804,176
150106300751,176
150106316781,176
150106348866,176
150106364800,176
150106380894,176
150106396933,176
150106412779,176
150106428877,176
150106444903,176
150106460860,176
150106476733,176
150106492644,176
150106508714,176
150106524810,176
150106540844,176
150106556845,176
150106572863,176
150106588731,176
150106604852,176
150106620736,176
150106636820,176
150106652615,176
150106668746,176
150106684701,176
150106700796,176
150106716759,176
150106732698,176
150106748713,176
150106764539,176
150106780696,176
150106796548,176
150106812628,176
150106828716,176
150106860541,176
150106876635,175
150106892602,174
150106924669,172
150106940477,170
150106956645,169
150106988393,167
150107004475,166
150107020514,165
150107052430,163
150107068580,163
150107084576,163
150107116603,163
150107132402,163
150107148348,163
150107180417,163
150107196352,163
150107212354,163
150107228511,163
150107244551,163
150107260530,163
150107276384,163
150107292306,163
150107308463,163
150107324348,163
150107340287,163
150107356321,163
150107372411,163
150107388250,163
150107404230,163
150107420467,163
150107436264,163
150107452252,163
150107468398,163
150107484237,163
150107500279,163
150107516208,163
150107532230,163
150107548213,163
150107564211,163
150107580259,163
150107596245,163
150107612228,163
150107628157,163
150107644166,163
150107660110,163
150107692184,163
150107708172,162
150107724245,161
150107756113,159
150107772105,158
150107788084,156
150107820077,155
150107836083,153
150107852031,152
150107884233,151
150107900167,149
150107916209,148
150107948158,147
150107964168,145
150107980042,144
150108012059,143
150108027984,141
150108044211,140
150108076136,138
150108091991,137
150108107953,136
150108139905,134
150108155911,133
150108171977,132
150108203877,130
150108220097,129
150108236038,128
150108268110,126
150108283914,125
150108299944,124
150108331796,123
150108347830,121
150108363979,120
150108395960,118
150108411982,117
150108427756,116
150108459918,114
150108475886,113
150108491772,112
150108523738,110
150108539932,109
150108555708,108
150108587858,106
150108603734,104
150108619872,103
150108651858,102
150108667791,100
150108683718,100
150108715796,100
150108731620,100
150108747587,100
150108779655,100
150108795611,100
150108811837,100
150108827585,100
150108843621,100
150108859552,100
150108875603,100
150108891603,100
150108907548,100
150108923548,100
150108939585,100
150108955569,100
150108971546,100
150108987620,100
150109003557,100
150109019659,100
150109035660,100
150109051625,100
150109067796,100
150109083694,100
150109099663,100
150109115662,100
150109131437,100
150109147409,100
150109163540,100
150109179562,100
150109195416,100
150109211460,100
150109227485,100
150109243489,100
150109259485,100
