timestamp_us,position
112157617976,100
112157633561,100
112157649556,100
112157665486,100
112157681487,100
112157697420,100
112157713417,100
112157730115,100
112157745493,100
112157761380,100
112157777299,100
112157793396,100
112157809293,100
112157825378,100
112157841503,100
112157857362,100
112157873402,100
112157889358,100
112157905242,100
112157921366,100
112157937278,100
112157953250,100
112157969261,100
112157985270,100
112158001375,100
112158017287,100
112158033314,100
112158049262,100
112158065264,100
112158081341,100
112158097317,100
112158129287,100
112158145243,101
112158161243,102
112158193273,104
112158209184,106
112158225146,108
112158257158,109
112158273107,111
112158289110,112
112158321177,113
112158337168,115
112158353283,116
112158385182,118
112158401166,119
112158417252,120
112158449252,122
112158465116,123
112158481107,124
112158513155,126
112158529082,127
112158545022,128
112158577074,130
112158593054,132
112158609237,133
112158641032,134
112158657052,136
112158673045,137
112158705073,138
112158720933,140
112158736940,141
112158769094,142
112158784980,144
112158800987,145
112158833044,146
112158848970,148
112158864929,149
112158896936,151
112158912962,152
112158928866,153
112158960892,155
112158976892,156
112158992848,157
112159024886,159
112159040851,160
112159056849,161
112159088817,163
112159104842,163
112159120888,163
112159152858,163
112159168939,163
112159184785,163
112159216781,163
112159232826,163
112159248864,163
112159264826,163
112159280813,163
112159296858,163
112159312775,163
112159328778,163
112159344801,163
112159360732,163
112159376786,163
112159392795,163
112159408724,163
112159424725,163
112159440717,163
112159456703,163
112159472646,163
112159488638,163
112159504695,163
112159520709,163
112159536734,163
112159552662,163
112159568638,163
112159584647,163
112159600742,163
112159616589,163
112159632564,163
112159648760,163
112159665038,163
112159680651,163
112159696615,163
112159728579,163
112159744493,164
112159760561,165
112159792609,167
112159808571,169
112159824433,171
112159856495,172
112159872379,174
112159888470,175
112159920425,176
112159936477,176
112159952456,176
112159984387,176
112160000434,176
112160016435,176
112160048378,176
112160064470,176
112160080359,176
112160096411,176
112160112392,176
112160128380,176
112160144347,176
112160160289,176
112160176257,176
112160192346,176
112160208388,176
112160224296,176
112160240365,176
112160256249,176
112160272224,176
112160288297,176
112160304294,176
112160320362,176
112160336290,176
112160352331,176
112160368235,176
112160384197,176
112160400183,176
112160416230,176
112160432262,176
112160448306,176
112160464303,176
112160480319,176
112160496203,176
112160512140,176
112160528211,176
112160560116,176
112160576107,175
112160592224,174
112160624161,172
112160640090,170
112160656116,169
112160688093,167
112160704127,166
112160720043,165
112160752134,163
112160768102,163
112160784117,163
112160816076,163
112160832087,163
112160848082,163
112160880092,163
112160896050,163
112160912015,163
112160927985,163
112160943977,163
112160959929,163
112160976071,163
112160991975,163
112161007969,163
112161024063,163
112161039961,163
112161055996,163
112161071997,163
112161087933,163
112161103976,163
112161120064,163
112161136118,163
112161151974,163
112161167898,163
112161184295,163
112161199968,163
112161215918,163
112161231905,163
112161247982,163
112161263942,163
112161279901,163
112161295833,163
112161312042,163
112161327871,163
112161343792,163
112161359982,163
112161391823,163
112161407801,162
112161423862,161
112161455908,160
112161471873,158
112161487876,157
112161519867,155
112161535845,153
112161551774,152
112161583774,151
112161599791,149
112161615874,148
112161647758,147
112161663629,145
112161679646,144
112161711671,143
112161727644,141
112161743851,140
112161775607,139
112161791706,137
112161807646,136
112161839597,134
112161855532,133
112161871605,132
112161903638,130
112161919669,129
112161935600,128
112161967621,126
112161983495,125
112161999463,124
112162031524,122
112162047481,121
112162063490,120
112162095482,118
112162111525,117
112162127497,116
112162159447,114
112162175402,113
112162191421,112
112162223433,110
112162239360,109
112162255461,108
112162287478,106
112162303544,104
112162319392,103
112162351393,102
112162367453,100
112162383407,100
112162415677,100
112162431392,100
112162447373,100
112162479338,100
112162495311,100
112162511318,100
112162543242,100
112162559281,100
112162575260,100
112162591229,100
112162607294,100
112162623286,100
112162639350,100
112162655257,100
112162671300,100
112162687208,100
112162703295,100
112162719297,100
112162735193,100
112162751231,100
112162767220,100
112162783235,100
112162799229,100
112162815437,100
112162831181,100
112162847215,100
112162863087,100
112162879060,100
112162895263,100
112162911071,100
112162927060,100
112162943033,100
112162958976,100
112162975146,100
112162991089,100
112163007085,100
112163023034,100
