timestamp_us,position
74074607467,100
74074623468,100
74074639430,100
74074655402,100
74074671393,100
74074687634,100
74074703395,100
74074719428,100
74074735550,100
74074751363,100
74074767352,100
74074783324,100
74074799529,100
74074815341,100
74074831256,100
74074847348,100
74074863341,100
74074879313,100
74074895211,100
74074911184,100
74074927209,100
74074943189,100
74074959105,100
74074975207,100
74074991124,100
74075007127,100
74075023205,100
74075039142,100
74075055058,100
74075071018,100
74075086984,100
74075119059,100
74075135052,101
74075151147,102
74075183056,104
74075198915,107
74075215012,108
74075246838,109
74075262864,111
74075279050,112
74075310912,113
74075326775,115
74075343048,116
74075374939,118
74075390868,119
74075406731,120
74075438669,122
74075454891,123
74075470689,124
74075502622,126
74075518878,127
74075534844,128
74075566731,130
74075582604,132
74075598667,133
74075630552,134
74075646552,136
74075662591,137
74075694652,138
74075710649,140
74075726465,141
74075758432,142
74075774555,144
74075790403,145
74075822311,146
74075838310,148
74075854256,149
74075886240,151
74075902284,152
74075918435,153
74075950317,155
74075966308,156
74075982203,157
74076014246,159
74076030220,160
74076046142,161
74076078070,163
74076094136,163
74076110086,163
74076142086,163
74076158110,163
74076174264,163
74076205951,163
74076221947,163
74076238055,163
74076254070,163
74076270107,163
74076285927,163
74076301871,163
74076317848,163
74076333977,163
74076350036,163
74076365890,163
74076381921,163
74076397724,163
74076413786,163
74076429752,163
74076445854,163
74076461916,163
74076477772,163
74076493862,163
74076509861,163
74076525677,163
74076541864,163
74076557628,163
74076573708,163
74076589618,163
74076605725,163
74076621767,163
74076637559,163
74076653543,163
74076669756,163
74076685738,163
74076717426,163
74076733433,164
74076749603,165
74076781608,167
74076797409,170
74076813508,171
74076845383,172
74076861391,174
74076877315,175
74076909373,176
74076925250,176
74076941297,176
74076973237,176
74076989190,176
74077005261,176
74077037189,176
74077053208,176
74077069261,176
74077085135,176
74077101168,176
74077117131,176
74077133059,176
74077149288,176
74077165035,176
74077181097,176
74077197121,176
74077212974,176
74077229132,176
74077245152,176
74077260932,176
74077276931,176
74077292945,176
74077308960,176
74077324884,176
74077340904,176
74077356963,176
74077372862,176
74077388799,176
74077404988,176
74077420839,176
74077436979,176
74077452858,176
74077468765,176
74077484714,176
74077500963,176
74077516821,176
74077548692,176
74077564776,175
74077580845,174
74077612675,172
74077628595,170
74077644797,169
74077676749,168
74077692774,166
74077708593,165
74077740635,164
74077756490,163
74077772475,163
74077804636,163
74077820604,163
74077836633,163
74077868447,163
74077884544,163
74077900414,163
74077916399,163
74077932369,163
74077948283,163
74077964252,163
74077980384,163
74077996357,163
74078012327,163
74078028299,163
74078044253,163
74078060239,163
74078076207,163
74078092200,163
74078108218,163
74078124143,163
74078140234,163
74078156160,163
74078172084,163
74078188173,163
74078204096,163
74078220059,163
74078236198,163
74078252042,163
74078268022,163
74078284023,163
74078300188,163
74078316163,163
74078332065,163
74078347905,163
74078379993,163
74078395875,162
74078411967,161
74078443866,160
74078460137,158
74078476061,157
74078507887,155
74078523805,153
74078539890,152
74078571880,151
74078587746,149
74078603731,148
74078635861,147
74078651896,145
74078667749,144
74078699670,143
74078715801,141
74078731565,140
74078763515,139
74078779553,137
74078795688,136
74078827689,134
74078843687,133
74078859492,132
74078891599,130
74078907420,129
74078923438,128
74078955380,126
74078971566,125
74078987426,124
74079019371,122
74079035461,121
74079051295,120
74079083302,118
74079099242,117
74079115235,116
74079147203,114
74079163228,113
74079179129,112
74079211217,110
74079227146,108
74079243196,107
74079275099,106
74079291050,104
74079307034,103
74079339096,102
74079355032,100
74079371097,100
74079403023,100
74079419026,100
74079434996,100
74079466927,100
74079483076,100
74079498980,100
74079514898,100
74079531073,100
74079547057,100
74079563077,100
74079578882,100
74079594814,100
74079610796,100
74079626968,100
74079642701,100
74079658955,100
74079674736,100
74079690851,100
74079706710,100
74079722722,100
74079738747,100
74079754628,100
74079770565,100
74079786609,100
74079802789,100
74079818758,100
74079834661,100
74079850562,100
74079866794,100
74079882563,100
74079898577,100
74079914582,100
74079930480,100
74079946720,100
