timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-07-25T14:46:54.857025,63.0,17.0,-50.0,22.0,10.0,-16.0,41.0,12.0,0.0,129.0,77.0,-8.0,64.51,18.18,-31.74,48.25,2.83,-16.52,19.91,25.83,4.31,97.92,95.61,-34.6
2025-07-25T14:46:54.861004,-1.0,-115.0,-49.0,-63.0,21.0,-52.0,86.0,-47.0,34.0,50.0,31.0,18.0,0.51,-113.82,-30.74,-36.75,13.83,-52.52,64.91,-33.17,38.31,18.92,49.61,-8.600000000000001
2025-07-25T14:46:54.869057,9.0,18.0,25.0,-18.0,48.0,7.0,-32.0,8.0,13.0,-12.0,-29.0,-10.0,10.51,19.18,43.260000000000005,8.25,40.83,6.48,-53.09,21.83,17.31,-43.08,-10.39,-36.6
2025-07-25T14:46:54.872844,56.0,-27.0,-19.0,12.0,-36.0,-24.0,49.0,77.0,-38.0,76.0,-34.0,-48.0,57.51,-25.82,-0.7399999999999984,38.25,-43.17,-24.52,27.91,90.83,-33.69,44.92,-15.39,-74.6
2025-07-25T14:46:54.881209,-4.0,-58.0,47.0,43.0,3.0,95.0,32.0,20.0,0.0,110.0,53.0,-55.0,-2.49,-56.82,65.26,69.25,-4.17,94.48,10.91,33.83,4.31,78.92,71.61,-81.6
2025-07-25T14:46:54.885853,-25.0,-12.0,2.0,-50.0,1.0,18.0,-13.0,27.0,-49.0,-7.0,8.0,53.0,-23.49,-10.82,20.26,-23.75,-6.17,17.48,-34.09,40.83,-44.69,-38.08,26.61,26.4
2025-07-25T14:46:54.893321,23.0,-43.0,14.0,50.0,-51.0,45.0,-77.0,7.0,-27.0,-23.0,-16.0,-27.0,24.51,-41.82,32.260000000000005,76.25,-58.17,44.48,-98.09,20.83,-22.69,-54.08,2.6099999999999994,-53.6
2025-07-25T14:46:54.897646,-7.0,-30.0,21.0,-56.0,6.0,51.0,31.0,103.0,31.0,-11.0,47.0,18.0,-5.49,-28.82,39.260000000000005,-29.75,-1.17,50.48,9.91,116.83,35.31,-42.08,65.61,-8.600000000000001
2025-07-25T14:46:54.905724,-23.0,51.0,-59.0,-26.0,-10.0,-9.0,68.0,-8.0,-10.0,-43.0,34.0,-41.0,-21.49,52.18,-40.739999999999995,0.25,-17.17,-9.52,46.91,5.83,-5.69,-74.08,52.61,-67.6
2025-07-25T14:46:54.909972,46.0,50.0,-32.0,-62.0,51.0,-27.0,-31.0,-77.0,-3.0,17.0,26.0,3.0,47.51,51.18,-13.739999999999998,-35.75,43.83,-27.52,-52.09,-63.17,1.3099999999999996,-14.079999999999998,44.61,-23.6
2025-07-25T14:46:54.917886,6.0,-60.0,-106.0,-62.0,59.0,-3.0,-9.0,-9.0,-48.0,-30.0,14.0,-44.0,7.51,-58.82,-87.74,-35.75,51.83,-3.52,-30.09,4.83,-43.69,-61.08,32.61,-70.6
2025-07-25T14:46:54.922210,70.0,-105.0,-40.0,-69.0,78.0,-14.0,-61.0,101.0,-70.0,-4.0,11.0,-21.0,71.51,-103.82,-21.74,-42.75,70.83,-14.52,-82.09,114.83,-65.69,-35.08,29.61,-47.6
2025-07-25T14:46:54.930068,58.0,-37.0,6.0,28.0,-9.0,9.0,46.0,4.0,40.0,-10.0,92.0,-21.0,59.51,-35.82,24.26,54.25,-16.17,8.48,24.91,17.83,44.31,-41.08,110.61,-47.6
2025-07-25T14:46:54.934445,76.0,-6.0,26.0,-47.0,-31.0,23.0,88.0,-3.0,-48.0,-120.0,-22.0,-32.0,77.51,-4.82,44.260000000000005,-20.75,-38.17,22.48,66.91,10.83,-43.69,-151.07999999999998,-3.3900000000000006,-58.6
2025-07-25T14:46:54.942536,-9.0,-38.0,-3.0,19.0,-26.0,5.0,38.0,63.0,-45.0,-105.0,6.0,39.0,-7.49,-36.82,15.260000000000002,45.25,-33.17,4.48,16.91,76.83,-40.69,-136.07999999999998,24.61,12.399999999999999
2025-07-25T14:46:54.946739,23.0,39.0,-37.0,-46.0,-7.0,10.0,45.0,24.0,-14.0,-18.0,2.0,17.0,24.51,40.18,-18.74,-19.75,-14.17,9.48,23.91,37.83,-9.690000000000001,-49.08,20.61,-9.600000000000001
2025-07-25T14:46:54.954674,-39.0,44.0,-47.0,-76.0,-5.0,-1.0,21.0,41.0,31.0,-3.0,36.0,42.0,-37.49,45.18,-28.74,-49.75,-12.17,-1.52,-0.08999999999999986,54.83,35.31,-34.08,54.61,15.399999999999999
2025-07-25T14:46:54.958968,-30.0,57.0,-53.0,-88.0,11.0,7.0,18.0,-16.0,27.0,15.0,29.0,-43.0,-28.49,58.18,-34.739999999999995,-61.75,3.83,6.48,-3.09,-2.17,31.31,-16.08,47.61,-69.6
2025-07-25T14:46:54.967083,53.0,-30.0,-105.0,25.0,80.0,-51.0,66.0,-68.0,-15.0,-10.0,58.0,-52.0,54.51,-28.82,-86.74,51.25,72.83,-51.52,44.91,-54.17,-10.690000000000001,-41.08,76.61,-78.6
2025-07-25T14:46:54.971296,83.0,-41.0,-71.0,-60.0,22.0,-5.0,36.0,-34.0,-17.0,19.0,25.0,-43.0,84.51,-39.82,-52.739999999999995,-33.75,14.83,-5.52,14.91,-20.17,-12.690000000000001,-12.079999999999998,43.61,-69.6
2025-07-25T14:46:54.979466,54.0,-8.0,-16.0,-14.0,78.0,65.0,60.0,11.0,-14.0,-61.0,35.0,15.0,55.51,-6.82,2.2600000000000016,12.25,70.83,64.48,38.91,24.83,-9.690000000000001,-92.08,53.61,-11.600000000000001
2025-07-25T14:46:54.983438,-99.0,-66.0,21.0,-48.0,47.0,28.0,-25.0,-69.0,-6.0,-9.0,50.0,-16.0,-97.49,-64.82,39.260000000000005,-21.75,39.83,27.48,-46.09,-55.17,-1.6900000000000004,-40.08,68.61,-42.6
2025-07-25T14:46:54.991671,-5.0,51.0,-6.0,-98.0,46.0,16.0,-2.0,-31.0,-5.0,12.0,-30.0,12.0,-3.49,52.18,12.260000000000002,-71.75,38.83,15.48,-23.09,-17.17,-0.6900000000000004,-19.08,-11.39,-14.600000000000001
2025-07-25T14:46:54.995749,-35.0,60.0,-3.0,-72.0,10.0,-33.0,16.0,-46.0,15.0,-44.0,11.0,43.0,-33.49,61.18,15.260000000000002,-45.75,2.83,-33.52,-5.09,-32.17,19.31,-75.08,29.61,16.4
2025-07-25T14:46:55.003871,-54.0,90.0,-96.0,-42.0,18.0,-25.0,-14.0,12.0,-36.0,44.0,15.0,16.0,-52.49,91.18,-77.74,-15.75,10.83,-25.52,-35.09,25.83,-31.69,12.920000000000002,33.61,-10.600000000000001
