timestamp_us,position
79366725756,100
79366741753,100
79366757732,100
79366773735,100
79366789794,100
79366805756,100
79366821849,100
79366837639,100
79366853761,100
79366869759,100
79366885540,100
79366901509,100
79366917568,100
79366933643,100
79366949514,100
79366965711,100
79366981600,100
79366997475,100
79367013493,100
79367029611,100
79367045568,100
79367061430,100
79367077385,100
79367093379,100
79367109583,100
79367125573,100
79367141462,100
79367157351,100
79367173509,100
79367189510,100
79367205300,100
79367237351,100
79367253223,101
79367269214,102
79367301215,104
79367317240,106
79367333169,108
79367365273,109
79367381169,111
79367397189,112
79367429086,113
79367445215,115
79367461167,116
79367493076,117
79367509250,119
79367525105,120
79367557006,121
79367572946,123
79367588977,124
79367621021,125
79367636928,127
79367652917,128
79367684929,129
79367700870,131
79367716818,132
79367748794,134
79367765011,135
79367780836,136
79367812786,138
79367828875,139
79367844682,141
79367876681,142
79367892612,143
79367908780,144
79367940647,146
79367956736,148
79367972736,149
79368004685,150
79368020584,152
79368036601,153
79368068539,154
79368084522,156
79368100707,157
79368132684,158
79368148481,160
79368164542,161
79368196411,162
79368212635,163
79368228355,163
79368260544,163
79368276452,163
79368292498,163
79368324274,163
79368340253,163
79368356253,163
79368372273,163
79368388427,163
79368404206,163
79368420221,163
79368436133,163
79368452158,163
79368468199,163
79368484245,163
79368500247,163
79368516210,163
79368532124,163
79368548119,163
79368564095,163
79368580118,163
79368596246,163
79368612183,163
79368627990,163
79368643979,163
79368660071,163
79368676168,163
79368692023,163
79368708016,163
79368724036,163
79368739893,163
79368756091,163
79368771983,163
79368787948,163
79368803887,163
79368835861,163
79368851790,164
79368867779,165
79368899817,167
79368915830,169
79368931884,171
79368963726,172
79368979743,174
79368995810,175
79369027617,176
79369043742,176
79369059694,176
79369091751,176
79369107650,176
79369123611,176
79369155726,176
79369171594,176
79369187555,176
79369203697,176
79369219661,176
79369235441,176
79369251506,176
79369267453,176
79369283362,176
79369299452,176
79369315421,176
79369331578,176
79369347538,176
79369363544,176
79369379471,176
79369395321,176
79369411490,176
79369427439,176
79369443314,176
79369459255,176
79369475278,176
79369491286,176
79369507214,176
79369523293,176
79369539191,176
79369555195,176
79369571210,176
79369587131,176
79369603135,176
79369619127,176
79369635239,176
79369667125,176
79369683131,175
79369699106,174
79369731123,172
79369746981,170
79369762975,169
79369794929,167
79369810993,166
79369827081,165
79369858948,164
79369874884,163
79369890842,163
79369922886,163
79369938884,163
79369954808,163
79369986764,163
79370002735,163
79370018797,163
79370034751,163
79370050699,163
79370066838,163
79370082814,163
79370098763,163
79370114667,163
79370130637,163
79370146794,163
79370162555,163
79370178646,163
79370194775,163
79370210664,163
79370226651,163
79370242734,163
79370258539,163
79370274554,163
79370290506,163
79370306479,163
79370322635,163
79370338559,163
79370354505,163
79370370500,163
79370386343,163
79370402413,163
79370418426,163
79370434415,163
79370450355,163
79370466489,163
79370498460,163
79370514470,162
79370530351,161
79370562265,160
79370578310,158
79370594371,157
79370626228,155
79370642104,153
79370658160,152
79370690101,151
79370706056,149
79370722082,148
79370754173,147
79370770111,145
79370786130,144
79370818164,143
79370834077,141
79370850047,140
79370881946,139
79370897973,137
79370913997,136
79370945888,134
79370962118,133
79370977946,132
79371009920,130
79371025785,129
79371041753,128
79371073782,126
79371089874,125
79371105729,124
79371137856,122
79371153757,121
79371169747,120
79371201630,118
79371217698,117
79371233807,116
79371265590,115
79371281761,113
79371297722,112
79371329726,111
79371345700,109
79371361462,108
79371393437,106
79371409665,105
79371425477,104
79371457581,102
79371473411,101
79371489365,100
79371521440,100
79371537333,100
79371553323,100
79371585281,100
79371601291,100
79371617236,100
79371649313,100
79371665202,100
79371681316,100
79371697277,100
79371713220,100
79371729168,100
79371745212,100
79371761173,100
79371777130,100
79371793131,100
79371809102,100
79371825215,100
79371841152,100
79371857188,100
79371873112,100
79371889178,100
79371905064,100
79371920930,100
79371936907,100
79371952943,100
79371969178,100
79371984890,100
79372000932,100
79372016917,100
79372032880,100
79372049053,100
79372064859,100
79372080785,100
79372096759,100
79372112831,100
79372128821,100
