timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x1_calib,y1_calib,z1_calib,x2_calib,y2_calib,z2_calib,x3_calib,y3_calib,z3_calib,x4_calib,y4_calib,z4_calib
2025-08-18T15:51:16.522873,-4805.0,-1649.0,9586.0,-20.0,72.0,26.0,24.0,-11.0,-26.0,-32.0,35.0,49.0,-10.449999999999818,30.210000000000036,93.02000000000044,-23.05,33.14,32.29,47.66,-11.86,-13.44,-62.1,14.129999999999999,48.66
2025-08-18T15:51:16.529888,-4820.0,-1696.0,9547.0,1.0,53.0,-33.0,16.0,6.0,-2.0,6.0,19.0,24.0,-25.449999999999818,-16.789999999999964,54.02000000000044,-2.05,14.14,-26.71,39.66,5.14,10.56,-24.1,-1.870000000000001,23.66
2025-08-18T15:51:16.537874,-4783.0,-1634.0,9409.0,-66.0,54.0,2.0,-35.0,-34.0,40.0,15.0,-56.0,44.0,11.550000000000182,45.210000000000036,-83.97999999999956,-69.05,15.14,8.29,-11.34,-34.86,52.56,-15.100000000000001,-76.87,43.66
2025-08-18T15:51:16.542268,-4788.0,-1634.0,9510.0,30.0,38.0,45.0,7.0,-40.0,-30.0,9.0,68.0,61.0,6.550000000000182,45.210000000000036,17.020000000000437,26.95,-0.8599999999999994,51.29,30.66,-40.86,-17.439999999999998,-21.1,47.129999999999995,60.66
2025-08-18T15:51:16.550049,-4745.0,-1728.0,9575.0,-47.0,87.0,29.0,-42.0,-59.0,20.0,-12.0,72.0,19.0,49.55000000000018,-48.789999999999964,82.02000000000044,-50.05,48.14,35.29,-18.34,-59.86,32.56,-42.1,51.129999999999995,18.66
2025-08-18T15:51:16.554415,-4778.0,-1649.0,9542.0,33.0,53.0,-8.0,-69.0,21.0,9.0,41.0,6.0,-68.0,16.550000000000182,30.210000000000036,49.02000000000044,29.95,14.14,-1.71,-45.34,20.14,21.560000000000002,10.899999999999999,-14.870000000000001,-68.34
2025-08-18T15:51:16.562347,-4795.0,-1647.0,9451.0,43.0,-9.0,-23.0,-27.0,7.0,-18.0,49.0,5.0,-36.0,-0.4499999999998181,32.210000000000036,-41.97999999999956,39.95,-47.86,-16.71,-3.34,6.14,-5.4399999999999995,18.9,-15.870000000000001,-36.34
2025-08-18T15:51:16.566596,-4742.0,-1627.0,9457.0,-40.0,27.0,-30.0,-8.0,-2.0,19.0,45.0,34.0,5.0,52.55000000000018,52.210000000000036,-35.97999999999956,-43.05,-11.86,-23.71,15.66,-2.86,31.560000000000002,14.899999999999999,13.129999999999999,4.66
2025-08-18T15:51:16.574878,-4778.0,-1720.0,9389.0,-53.0,-8.0,-7.0,40.0,-13.0,-82.0,84.0,86.0,-26.0,16.550000000000182,-40.789999999999964,-103.97999999999956,-56.05,-46.86,-0.71,63.66,-13.86,-69.44,53.9,65.13,-26.34
2025-08-18T15:51:16.578891,-4746.0,-1751.0,9523.0,-9.0,95.0,-52.0,42.0,-42.0,5.0,51.0,50.0,-24.0,48.55000000000018,-71.78999999999996,30.020000000000437,-12.05,56.14,-45.71,65.66,-42.86,17.560000000000002,20.9,29.13,-24.34
