timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
2025-07-10T13:25:45.815472,-30.0,-55.0,6.0,45.0,-15.0,25.0,-20.0,41.0,-14.0,-26.0,28.0,-60.0
2025-07-10T13:25:45.818955,-17.0,-49.0,50.0,21.0,1.0,-45.0,8.0,77.0,-22.0,6.0,-33.0,54.0
2025-07-10T13:25:45.823343,27.0,0.0,70.0,-83.0,63.0,48.0,-1.0,-43.0,15.0,42.0,20.0,17.0
2025-07-10T13:25:45.831431,17.0,11.0,11.0,-24.0,67.0,37.0,-22.0,-13.0,6.0,28.0,-93.0,108.0
2025-07-10T13:25:45.835393,-109.0,-33.0,14.0,-72.0,30.0,8.0,-62.0,2.0,15.0,45.0,-82.0,65.0
2025-07-10T13:25:45.843635,-80.0,53.0,27.0,5.0,69.0,-22.0,1.0,11.0,-34.0,61.0,-94.0,67.0
2025-07-10T13:25:45.847692,-87.0,34.0,33.0,43.0,5.0,11.0,-68.0,-2.0,-39.0,50.0,-30.0,26.0
2025-07-10T13:25:45.856033,-122.0,64.0,8.0,34.0,-11.0,-28.0,-26.0,48.0,-29.0,41.0,-31.0,-11.0
2025-07-10T13:25:45.860122,-73.0,62.0,-6.0,60.0,-44.0,61.0,-4.0,15.0,-62.0,47.0,-30.0,-45.0
2025-07-10T13:25:45.868103,-34.0,48.0,-30.0,-31.0,3.0,2.0,-50.0,-18.0,-7.0,71.0,-6.0,59.0
2025-07-10T13:25:45.872382,-69.0,18.0,-43.0,-39.0,75.0,39.0,16.0,-19.0,-19.0,63.0,0.0,40.0
2025-07-10T13:25:45.880426,-10.0,-62.0,-39.0,-37.0,65.0,-74.0,6.0,-4.0,19.0,32.0,-18.0,-34.0
2025-07-10T13:25:45.884606,-38.0,8.0,-49.0,13.0,48.0,-40.0,2.0,-26.0,-41.0,30.0,-22.0,47.0
2025-07-10T13:25:45.892696,-27.0,55.0,45.0,-22.0,43.0,-14.0,-20.0,36.0,-58.0,74.0,-13.0,32.0
2025-07-10T13:25:45.897108,-79.0,-8.0,65.0,9.0,-8.0,-24.0,-64.0,10.0,-18.0,17.0,-7.0,-5.0
2025-07-10T13:25:45.905121,-52.0,-34.0,72.0,59.0,7.0,-3.0,59.0,-57.0,-38.0,14.0,14.0,-29.0
2025-07-10T13:25:45.909272,-46.0,20.0,37.0,27.0,-21.0,-26.0,-62.0,28.0,-18.0,27.0,99.0,8.0
2025-07-10T13:25:45.917408,-40.0,2.0,-31.0,17.0,38.0,45.0,-17.0,-43.0,-61.0,52.0,38.0,-59.0
2025-07-10T13:25:45.921587,-109.0,19.0,119.0,15.0,51.0,2.0,20.0,20.0,-22.0,-3.0,63.0,-44.0
2025-07-10T13:25:45.929531,-64.0,79.0,0.0,12.0,-7.0,-7.0,-16.0,-20.0,20.0,74.0,63.0,-10.0
2025-07-10T13:25:45.933815,-55.0,46.0,-46.0,40.0,-3.0,31.0,44.0,7.0,-11.0,66.0,-3.0,-19.0
2025-07-10T13:25:45.941918,-46.0,80.0,24.0,52.0,24.0,18.0,-2.0,-46.0,-44.0,63.0,35.0,-22.0
2025-07-10T13:25:45.946262,15.0,-31.0,30.0,-6.0,-25.0,-48.0,-61.0,-26.0,15.0,40.0,90.0,-38.0
2025-07-10T13:25:45.954257,-1.0,-20.0,-35.0,-15.0,-30.0,118.0,25.0,8.0,-5.0,118.0,68.0,-22.0
2025-07-10T13:25:45.958334,-74.0,26.0,43.0,29.0,38.0,-1.0,-27.0,16.0,-47.0,70.0,24.0,4.0
2025-07-10T13:25:45.966360,-94.0,38.0,17.0,49.0,78.0,-40.0,14.0,-1.0,5.0,25.0,62.0,-19.0
2025-07-10T13:25:45.970755,-88.0,87.0,24.0,52.0,12.0,-13.0,-37.0,-33.0,45.0,24.0,45.0,-15.0
2025-07-10T13:25:45.978794,-100.0,26.0,21.0,53.0,31.0,69.0,-50.0,-43.0,17.0,95.0,-25.0,-67.0
2025-07-10T13:25:45.983074,-4.0,18.0,-32.0,-144.0,-9.0,24.0,37.0,30.0,-28.0,15.0,42.0,-41.0
2025-07-10T13:25:45.990993,7.0,15.0,-8.0,46.0,11.0,-15.0,-51.0,-5.0,-21.0,36.0,64.0,-19.0
2025-07-10T13:25:45.995252,-54.0,69.0,-1.0,2.0,23.0,-12.0,-35.0,-20.0,-48.0,58.0,36.0,1.0
2025-07-10T13:25:46.003307,9.0,-5.0,34.0,51.0,-48.0,-48.0,4.0,11.0,-19.0,52.0,85.0,-37.0
2025-07-10T13:25:46.007537,-26.0,-41.0,41.0,66.0,21.0,-4.0,21.0,16.0,-44.0,-15.0,50.0,-32.0
